original,Malith,Abhaya
ඕවිටේ,ඕවිටේ,ඕවීිමට්
කුමාරි,කුමාර,කුමාරි
දර්ශනී,දර්ශනී,දර්ශනී
කුමාර,කුමාර,කුමාර
හර්ෂිනී,නර්ෂනී,ගර්ෂීනී
සෙබස්රියාන්,සෙබස්රියාන්,සෙබස්රියාන්
තිලක්සිරි,නිලක්සිරි,ඞතිලක්සිරිමං
තරිඳු,තරදු,තරිදු
උමයංගනා,උමයංගනා,උමයංගනා
වත්සලා,විනත්සලා,ඞසඇවත්සලා
නිලුපුලී,නිලූපුලී,නිලුපුලී
කෙනත්,කෙනත්,ඛඞසඛකෙනත්
පහලගෙදර,පහලගෙදර,පහලගෙදර
කංකානම්ගේ,කංකානම්ගේ,කංකානම්ගේට
හපුආරච්චිලාගේ,හපුආරච්චිලාගේ,හපුආරච්චිලාගේ
සුදත්,ඉසුදුත්,සුදත්
ගස්බරුවලාකේ,ගස්බරැවලාකේ,ගස්බරුවලාකේ
අයේෂා,අයේෂා,ඤේඝඅයේෂා
මැණිකේ,මැණිකේ,ඞමැණිකේ
රෂ්ඩාන්,රෂ්ඩාන්,දඟරඩොන්
බොව්තුරාගොඩ,බොච්තුරාගොඩ,බොව්තුරාගොඩ
හිමේෂා,හිමේෂා,ගිමේෂා
සුගුකුමාරන්,සුගුඛුමාරන්,සුගුකුමාරන්
කතුරුසිංහ,කතුරැසිංහ,කතුරුසිංං
තිලක්,නිලක්,තිලක්
ආරච්චි,ආරච්චි,ආරච්ච්
විශානි,චිශානි,විශානිං
ගෝනපිනුවල,ගෝනපිනුවල,ගෝනපිනුවල
දිසානායක,දිසානායක,දිසානායක
රත්නායක,රත්නායක,රත්තායයත
ශාලෝමි,ශාලෝම්,ඞඛශාලෝම්
කාන්ති,කාන්තිං,කාන්ති
යටගම්පිටිය,යටගම්පිටිය,යටගම්පිටිය
මෆාහිර්,මෆානිර්,මෆාහිර්
ජයවර්ධන,ජයවර්ධධ,ජයවර්ධන
ෂෙහාන්,ෂෙනබාන්,ශඡෙහාන්
දිල්රුක්ෂි,ඞඈඅදිල්රැක්ෂි,දිල්රුක්ෂමං
ප්‍රසංග,ඛඞප්‍රසංග,ප්‍රසංග
තරුෂිකා,තරුෂිකා,ඞතරුෂ්කා
හල්ගහවත්ත,හල්ගනවත්ත,හල්ගහවත්ත
විශ්මින්,වචිශ්ම්න්,විශ්මින්
පුරංකුඹුරේ,පුරංකුඹුරේ,පුරංකුඹුරේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ලොකුතුත්තිරිපිටිගේ,ලොකතුත්නිරිපිටිගේ,ලොකුතුත්තිරිපිටිගේ
ආලීම්,ආලීම්,ආලීම්
කුමාර,කුමාර,කුමාර
මාගගේ,මාගගේ,මාගේ
ෆාහිම්,ේසඝෆාහිම්ං,ෆාහිම්
බුබුලේගෙදර,බුබුලේගෙදර,බුබුලේගෙදර
ජයලත්,ජයලත්,ජයලත්
අප්පුහාමි,අප්පුහාම්,අප්පුහාමි
අනුර,අනුර,යඅනුර
පනාගොඩගේ,පනාගොඩගේ,පනාගොඩගේ
යක්සනා,ඛඞයක්සනා,ඞයක්සනා
වීරසන්ගලිගේ,වීරසන්ගලිගේ,වීරසන්ගලිගේ
චාන්දනී,ඞචාන්ද්‍රනි,චාන්දනී
වසන්ත,චිසන්ත,වඝන්ත
ක්‍රිෂාන්ත,ක්‍රිෂාන්න,ක්‍රිෂාන්ත
වෛද්‍යාලංකාර,මවෛද්‍යාලංකාර,වෛද්‍යාලංකාර
පසිඳු,එසිළු,පසිදු
මුදියන්සෙලාගේ,මුදියන්සෙලාගේ,මුදියන්සෙලාගේ
කීර්ති,බර්ත්,කිර්ති
අබ්දුල්,අබදුල්,අබදුල්
ගයානි,ගයානි,ගයානි
විමලා,චිමලා,විමලා
හාතාදුර,භානාදුර,හාතාදුර
අශාන්,ක්‍යඞඅශාන්,අශාන්
ජයවර්ධන,ජයවර්ධන,ජයවර්ධන
ආභරණ,ආභරණ,අආහරණ
ෆොන්සේකා,ෆොන්සේකා,ෆොන්සේකා
සමීර,සමීර,සමං
හේෂානි,ඞසඞභේෂානි,හේෂානි
උරල,උරළ්,උරල
ගෙදර,ගෙදර,ගෙදර
දුලංජලි,දුලංජලි,ඞඞඈජදුලංජලි
සිත්තිරාදේවි,සිත්නිරාදේවි,සිත්තිරාදේවි
කුමාර,ඉඔනුමා්ර,කුමාර
උඩගෙදර,එඩගෙදර,උඩගෙදර
නිලන්ති,ඞඝනිලන්ති,නිලන්තිං
සිල්වා,ඞසිල්වා,සිල්වා
රසාංජලී,ඞඇඋරසාංජලී,ඛඞශඈරසාංජලී
තෙල්කඩ,ඞසනතෙල්කඩඩා,ඞතෙල්තහඩා
සන්මුගම්,සන්මුගම්,සන්මුගම්
තැන්නලාගේ,තනැන්නලාගේ,තැන්නලාගේ
විජේසිංහ,ඞඈවිපේසිංගහග,ඞඈවිපේසිංං
රණසිංහ,ඨඈඊරණසිංහ,ඞඈරණසිං
දිල්හාරා,දිල්නාරා,දිලිහාරා
කාවින්ද්‍යා,කාවින්ද්‍රයා,කාවින්ද්‍යා
තිලකරත්න,නිලකරත්න,තිලකරත්න
චන්ද්‍රජිත්,චන්ද්‍රපිත්,චන්ද්‍රජිත්
වසුදා,වසුතු,වසුදා
පයාගලගේ,පයාගලගේ,පයාගලගේ
මැදගෙදර,මැදගෙදර,මැදගෙදර
සීනවත්තගේ,සීනවන්තගේ,සීනවත්තගේ
සුලෝචනා,සුලෝචනා,සුලෝචනා
නවිතා,නවතා,නවිතා
ජෙනවි,ඞජනව්,ජෙනවි
රුවනි,රැවනි,වනි
මුත්තුකරුප්පන්,මුතන්තුකරැප්පන්,මුත්තුකරුප්පන්
රෙන්කො,රෙන්කො,රෙන්කො
තංගමනි,තංගමනි,තංගමනි
සෙව්වන්දි,සෙච්වන්දිටං,සෙච්චන්දි
ජයසිංහ,ජයසිංහ,සජයසිංං
චන්ද්‍රිකා,ඞඉඉචන්දිබධා,ඞචන්දිකා
සුබසිංහ,සුබසිංං්‍යං,සඞසුබසිංහ
මේරියන්,මේරයන්,මේරියන්
චදිර,චදීරථර,චදිර
කිරුශ්ණකුමාර්,කිරැශ්ණකුමාර්,කිරුග්ණකුමාර්
ගෙදර,ගෙදර,එගදර
ඉරේෂා,ඉරේෂා,ඉරේෂා
