original,Malith,Abhaya
කංකානමලාගේ,කංකානමලාගේ,කංකානමලාගේ
ඉලංකෝන්,ඞශමලෙංකෝන්,ඉලංකෝන්
සඳරුවන්,සඳරුවන්,සඳරුවන්
ඉසුරු,සුරු,ඉසුරු
සෙබස්ටියම්මා,සෙබස්ටියම්මා,සෙබස්ටියම්මා
සම්පත්,සම්පත්,සම්පත්
රුමේනිකා,රුමේනිකා,රුැමේනිකා
මඩසාමි,මඩසාම්,මඩසාම්
සයිඩ්,සයිඩි,සයිඩ්
සිංහරත්න,සිංතරත්න,සිංහරත්න
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ලොකුකැටගොඩගේ,ලොකුකැටගොඩගේ,ලොකුකැටගොඩගේ
පියවතී,ප්‍රියවඞ්ි,වියවතී
පෙරේරා,පෙරේරා,පෙරේරා
අශාර,අශාර,අශාර
උවිඳු,දරවිද්‍රළ,උවදු
පුෂ්පකුමාර,පුෂ්පකුමාර,පුෂ්පකුමාර
සුනිල්,සුනිල්,සුනිල්
උළුවත්තගේ,උළුවත්තගේ,උළුවත්තගේ
කෝනාරසිංහ,කෝනාරසිංහ,කෝනාරසිංහ
වසන්තදේවි,වසන්තදේවි,වසන්තදේවි
විතානගේ,වචිතානගේ,විතානගේ
සරණසිරි,සරණසිට්,සරණසිරි
ශිරන්ත,ශිරන්ත,ශිරන්ත
සරණපාල,සරණපාල,සරණපාල
බණ්ඩාර,ඞභබණ්ඩාර,ඞසශබණ්ඩාර
පේඩිගේ,උසඡේඩිගේ,පේඩිගේ
ඉන්ෆන්ටා,ඉන්ෆන්ටා,ඉන්ෆන්ටා
චමිල්ක,හචමිල්ක,ේඝඔචඑමිල්කතක
කෝනාර,කෝනාර,කෝනාර
දහනායකගේ,දහනායකගේ,දහනායකගේ
ඉලන්දාරි,මලන්දාර්,ඉලන්දාරි
කොඩිප්පිලි,කොඩ්ප්පිලි,කොඩිප්පිලිං
මෙරගල්,ඞමෙරගල්,ඞමෙරගල්
රත්නායක,රත්නායක,රත්නායක
ලියනගේ,ලියනගේ,ලියනගේ
කීදෙස්වරි,කීදෙස්වට,කීදෙස්වරි
ධර්මවර්ධන,ධර්මවර්ධන,ධර්මවර්ධන
ගල්තොටවත්ත,ගල්තොටචන්න,ගල්තොටවත්ත
එරන්ත,චිරන්ත,ඥඑරන්ත
කලුහැන්නැදිගේ,කලූහැන්නැදිගේ,කලූහැන්නැදිගේ
නිරෝෂා,ඞනිරෝෂා,ඞඈතනිරෝෂා
ලක්ෂිත,ලක්ෂිත,ඛඞලක්ෂිත
කාරයෙල්,කාරයෙල්,කාරයෙල්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේං
මුදලිගේ,ඞමුදුලිගේ,මුදලිගේ
කුසුමාවතී,කුසුමාවනී,කුසුමාවතී
කනේදරන්,කනේදරන්ං,කනේදරන්
මුතුකුමාරු,මුතබුඛුමාරු,මුතුකුමාරු
සුනිතා,රාසුනිතා,සුනිතා
නිශත්,නිශන්,නිත්
ජෙයකාත්,ජපෙයකාන්,ජෙයකාත්
රහමත්තුල්,රහමත්තල්,ඞරහමත්තුල්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ෆායිස්,ෆායිස්,ෆායිස්
රත්නමාලි,ඈජරත්නමාලි,රත්නමාලිං
හංසමාල්,හංසමාල්,ඞඝහංසමාල්
විමලගුණසේකර,විමලගුණසේකර,විමලගුණසේකරං
අධිකාරි,අධිකාර්,අධිකාර්මං
පෝරුවල,පෝරැවල,පෝරුවල
දිනුෂාන්,දිනුෂාන්,ඛඞඇදිනුෂාන්
නිලන්ත,නිලන්ත,ඞනිලන්ත
හමීඩ්,වවීඩි,හම්ඩ්
එදිරිවීර,බෛදිර්වීථා,එදිරිවීර
අප්පුහාමිලාගේ,අප්ථුනාමිලාගේ,අප්ප්‍රහාමිලාගේ
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්දු
කැලුම්,බැලම්ි,කැරම්ං
සෙල්වනායකම්,සෙල්වනායකම්,සෙල්වනායකම්
පරගහ,පරගන,පරගග
දීපාල්,දීිරල්,දීපාල්
ජගත්,ජගත්,ජගත්
පාතිමා,පාතිමා,පාතිමා
මොහමඩ්,මොහමඩ්,මොහමඩ්
සමරසේකර,සමරසේකර,සමරසේකර
විතාන,චිතාන,චිතාන
ලසන්ත,ලසන්ත,ලසන්ත
ජයන්ත,ජයන්ත,ජයන්ත
ඥාණවතී,ඥාණවතී,ඞඥාණවතී
මයිලගහවත්තෙ,මයිලගනවත්තෙ,මයිලගහවත්තෙ
හේරත්,හේරත්,හේරත්
ප්‍රියනාත්,ප්‍රියනනාත්,්‍රියනාත්
ගුණසේකර,ගුණසේකර,ගුණසේකර
කුමාර,කුමාර,කුමා
නිමල්රාජ්,නිමල්රාජලී,නිමල්රාර්ං
අචල,අවළං,අවල
පුරගේ,පුරග්,පුරගේ
ජෝර්ජ්,ජෝර්ජ්,ජෝර්ජ්
නිලුසා,නිලූසා,නිලුයා
තොටවත්තගේ,තොටවත්තගේ,තොටවත්තගේං
නරේදිරානාදන්,නරේදිරානාදන්,නරෙදිරානාදන්
දිසානායක,දිසානායන,දිසානායක
කලුතොටගේ,කලූතොටගේ,කලූතොටගේ
අප්පුහාමි,අප්පුනාම්,ඛශජඡඅප්පුහාමි
මල්කාන්ති,මල්කාන්ති,මල්කාන්ති
පල්ලේගමයලාගේ,පල්ලේගමයලාගේ,පල්ලේගමයලාගේ
කුමාරි,ඬකුමාර්,කුමාරි
සිරිසේන,සිරිසේන,සිරිසේන
දිසානායක,දිසානායක,දිසානායක
රෙසීන්,රෙසින්,රෙසීන්ං
කොටුවේ,කොටුවේ,කොටුවේ
විනෝදනි,ඞචිනෝදනි,විනෝදනි
දර්ශිකා,අඅඑදර්ෂිකාං,දර්ශිහා
පමුදි,පමුදු,එමුදු
