original,Malith,Abhaya
දිව්‍යාංජලි,දිච්‍යාංජළි,දිව්‍යාංජලි
දර්ශන,දර්ශන,දර්ශ
අධිකාරි,අධිකාරී,අධිකාරි
කරුණාධිපති,කරැණාධිපති,කරැණාධිපති
චමිත්,චමත්,චමත්
වන්නි,වන්නි,චන්නි
මොහමඩ්,මොහමඩ්,මොහමඩ්
දර්ශණී,ඞඝඉදර්ශ්‍ය,දුර්ග
රණමුක,රණමුක,ඛඞඝරණමුක
සුජීව,සුව,සුජිව
මදුරච්චාරිගේ,මදුරච්චාර්ගේ,මදුරච්චාරිගේ
ඩේවිඩ්,ඬඩේවිඩි,ඬේවීඩ්
ප්‍රදීප්,ප්‍රදිථජ,ප්‍රදීප
යමුනා,ඬඞඉයමුනා,යමුනා
චමෝද්‍ය,චමෝදල,ේඞචමෝද්‍යා
සෆ්නා,සෆ්නා,සෆ්නා
වශ්ණි,ඞංචශ්ණි,වශ්ණි
විජිත,ච්ර්ත,චිත
සුනිල්,සුනිල්,සුනිල්
දනුෂ්කා,දනුම්කා,දනුෂකා
ප්‍රියදර්ශනී,ප්‍රියදර්ශනී,ප්‍රියදර්ශනී
මිහිලාර්,ඞම්හිලාර්,ඞමිහිලාර්
සංඛා,සබා,සංඛා
ජනගන්,ඞජනගන්,හඞජනගන්
සිල්වා,සිල්වා,සිල්වා
ජයන්තා,ජයන්තා,ජයන්තා
කුමාර,කුමාර,කුමාර
අන්දාබදු,ඞඅන්දාබදු,අන්දාබදු
ඊබත්තුල්ලා,ඊබත්තුල්ලා,ඊබත්තුල්ලාං
සතුරුසිංහ,සතුරැසිංහ,සතුරුසිං
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්දු
සරත්කුමාර්,සරත්කුමාර්,සඇසරත්කුමාර්
ශාන්ත,ඞණශාන්න,ශාන්ත
අමරසිංහගේ,අමරසිංහගේ,අමරසිංහගේ
කංකානම්ගේ,කංකානම්ගේ,කංකානම්ගේ
චතුරංග,චතුරංග,චතුරංග
රේෂානි,රේෂානි,රේෂානී
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
පත්මසිරි,පත්මසිදයි,පත්මසිරි
අතපත්තු,අතපත්තු,අතපත්තු
ප්‍රශාන්,ප්‍රශාන්,ප්‍රශාන්
විනෝදනී,විනෝදනී,ඇවචිනෝදනී
විජේසිංහ,විජේසිංහ,ඞවචිපේසිංහං
වික්‍රමසිංහ,වික්‍රමසිංහ,වික්‍රමසිංහ
රණසිංහ,රණසිංහ,ඞශඇරණසිංං
කොට්ටව,කොට්ටළට,කොට්ටව
ස්ට්ෆ්න්,ස්ට්ග්න්,ඛඞේඝස්ට්ෆ්න්
තංගවේල්,තංගවේල්,ඞතංගවේල්
අස්මාබීබි,අස්මාධබ්බ්ි,ඞඬඞඅස්මාබ්බි
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
හසන්,හසන්,ඞහසන්
මාලින්ද,සශමාලින්ද,මාලින්ද
සාන්ත,සාන්ත,සාන්ත
ගුරුගේ,ගුරුගේ,ගුරුගේ
සුරංග,සුරංග,සුරංග
කරීම්,බර්ම්,කරම්
තිලිනි,තිලිනි,තිලිනි
අබේවර්ණගේ,අබේවර්ණගේ,අබේවර්ණගේට
කමලාවතී,කමලාවතී,කමලාවතී
වෙන්ගප්පුලි,චෙන්ගප්පුලි,වෙන්ගප්පුලි
ලාලනි,ලාලනි,ලාලනි
මනනගේ,මනනගේ,මනනගේ
ගොඩවෙලේ,ගොඩවෙලේ,ගොඩවෙලේ
විතානගේ,චිතානගේ,විතානගේ
දීපිකා,දීපිකා,යදිර්කා
සත්‍යවේලු,සත්‍යවේලුූ,ඞසත්‍යවේලු
ප්‍රේමවතී,ප්‍රේමවනී,ප්‍රේමවතී
සෆිනාඋම්මා,සෆිනාඋම්මා,සෆිනාඋම්මා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
මාකලන්දරගේ,මාකලන්දරගේ,මාකලන්දරගේ
දිසානායක,දිසානායක,දිසානායකං
රඹුක්කන්නේ,රඹුක්කන්නේ,මඹුක්කන්නේ
මාලක,මාලක,මාලක
