original,Malith,Abhaya
පියල්,යපියල්,පියල්
කීඹිය,කීහ,කිලිය
වේල්මුරුගන්,වේල්මුරැගන්,වේල්මුරුගන්ං
රණවිතන්ත්‍රි,රණචිනන්තට්‍රි,රණවිතන්ත්‍රි
පිලිප්,විලිප්,විලුජ
රත්නායක,රත්නායක,රත්තායය
හේමලතා,හේමලතා,හේමලතා
කෝරළගේ,කෝරළගේ,කෝරළගේ
හේරත්,හේරන්,හේරත්
ගමගේ,ගමගේ,ගමගේ
මධුවංශ,ඞමධුචංශග,මධුවංශ
සරණශීල,සරණශීල,ඞඨඇජසරණගීල
ගොඩගේ,ඞගගොඩගේ,ගොඩගේ
ඩයස්,ඩයස්,ඩයය්
ගෙදර,ගෙදර,ගෙදර
චතුරංග,උජචතුරග,චතුරංග
කලුආරච්චි,කලූආරච්චි,හකලුආරච්චි
ධර්මසිරි,ඞඬධර්මසර්,ධර්මසිරි
අත්තනායක,අත්තනායක,අත්තනායක
රත්මන්,ඞඈරත්මන්,රත්මන්
ජයවීරගේ,ජයවීරග්,ජයවීරගේ
තලාකඩ,තලාකඩ,තලාකඩ
බොරලුවේ,බොරලුවේ,ශඈඌලබොරලුවේ
පෙත්තා,පෙත්තා,පෙත්තා
රාජපක්ෂ,ඞඉරාජපක්ෂ,රාජපක්ෂ
ජනික,පනත,ජතික
රත්නවීර,රත්නවීර,රත්නවීර
හේරත්,ඕපේරත්,හේරත්
පෙරේරා,පෙරේරා,පෙරේරා
හේවාගේ,හේවාගේ,හේවාගේ
ජයසිංහ,ජයසිංහ,ජයසිංහ
ප්‍රියන්ත,ප්‍රියන්ත,ප්‍රියන්ත
කරුණාතිලක,කරුණාතිලක,කරුණාතිලක
සදාසිවම්,සදාසිවම්,සදාසිවම්
රණසිංහ,රණසිං,ඞරණසිංංං
කැළුම්,කැළුම්,කැරම්
ලක්මාලි,ඞලක්මාලි,ලක්මාලි
අයියර්සාමි,අයියර්සාම්,අයියර්සාමි
විතාරමලාගේ,චිතාරමලාගේ,විතාරමලාගේට
දසනායකගේ,දුසනායකගේ,දසනායකගේ
ගුරුගේ,ගුරුගේ,ගුරුගේ
වන්නි,වන්නි,වන්නි
පත්මලතා,පත්මලතා,ඞපත්මලතා
දුරගේ,දුරග්,දුරගේෝ
තත්සරණි,තන්සරණි,තත්සරණි
සලීල්,ඉංසළීර්,සලීල්ං
සිත්තිරාලියා,සින්තිරාලියා,සිත්තිරාලියා
හංසසර,හංසසර,හංසසර
අමරතුංග,අමරතුංග,අමරතුංග
ප්‍රසාද්,ප්‍රසාද්,ප්‍රසාද්
දොන්සේකර,දොන්සේකර,දොෞන්සේකර
රවිඳු,රවර්දු,රවිඳු
මොහොට්ටාලලාගේ,මොහොට්ටාලලාගේ,මොහොට්ටාලලාගේ
කරුණාරත්නගේ,කරැණාරන්නගේ,කරුණාරත්නගේ
කෝට්ටගංගොඩ,කෝටිටගංගොඩ,කෝට්ටගංගොඩ
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
පාර්වතී,පාර්වබි,පාර්වතී
මින්හාජ්,මින්ඡාථ්,මින්ගාජ්
හේරත්,ඞඝහේරත්,හේරත්
වෙදආරච්චිගේ,වෙදආරච්චිගේ,වෙදආරච්චිගේ
චන්දිමා,චන්දමා,චන්දිමා
තන්හීල්,ඞඨඈතන්භගල්,ඞතන්ගීල්
කාලිමුත්තු,කාලිමුත්තු,කාලිමුතතු
බන්දුල,බන්දුල,ඞබන්දුල්
ගෙදර,ගෙදර,ගෙදර
ඇල්පිටියේ,ඇල්පිටියේ,ඇල්පිටියේ
නාලක,නාලක,නාලක
කුමාරි,නුමාර,කුමාරි
ආසීර්,ආසර්,ආසිරි
කුමාරි,කුමාරට,කුමාරි
වික්‍රමසිංහ,වික්‍රමසිංහ,වික්‍රමසිංහ
සෙල්වරාජන්,සෙල්වරාජන්,සෙල්වරාජන්
හසන්,හසන්,හසන්
උදය,උදය,දය
ඉමිහාමි,ඞඉම්භාම්,ඝඉම්හතාමි
එදිරිසිංහ,චදුර්සිංං,එදිරිසිංහ
කුමාර,කුමාර,කුමාර
ලියනගේ,ලියනගේ,ලියනගේ
අතපත්තු,අතපත්තු,අතපත්තු
මකීම්,මසතීම්,මකීම්
නිව්ටන්,නිව්ටන්,නිව්ටන්
වාහලතන්ත්‍රිගේ,චාහලතන්තිගේ,වාගලතන්තිගේ
ජයන්ත,පසන්න,ජයන්ත
පාලමන්ඩඩිගේ,පාලමන්ඩඩිගේ,පාලමන්ඩඩිගේ
මනෝහරන්,මනෝහරන්,මනෝහරන්
බාලසූරිය,බාලසූරය,බාලසූරිය
ප්‍රියන්ත,ප්‍රියන්න,ව්‍රියන්න
ගුලනෙගෙදර,ගුලනෙගෙදර,ගුලනෙගෙදර
මහමුද්,මහමුද්,මහමුද්
දේවගේ,දේවගේ,දේවගේ
ජයවර්ධන,ජයවර්ධන,ජයවර්ධන
හඳගිරි,හඳගිර්,හඳගිරදි
දිලංජනී,ඞශඇඉදිලංජනී,දිලංජනී
ගුණසීල,ගුණසිල,ශභගුණසීල
අබ්දුල්,අිබ්දුළ්,අබ්දුල්
ආරියවංශ,ආර්යවංශ,ආරියවංශ
මුදියන්සේලාගේ,මුද්‍රයන්සේලාගේ,මුදියන්සේලාගේ
මතුමිදා,ඞමතනුම්දා,මතුම්දා
ප්‍රේමරත්න,ප්‍රේමරත්න,ප්‍රේමරත්න
පාලමකුඹුරේ,පාලමකුඹුරේ,පාලමකුඹුටරේ
චින්තක,චින්තක,ඞසඇචින්තත
වීරක්කොඩි,වචීරක්කොඩි,වීරක්කොඩි
බණ්ඩාර,බණ්ඩාර,බණ්ඩාර
කාරියප්පෙරුම,කාරියප්පෙරුම,කාරියප්පෙරුම
හරිහරන්,හරනතරන්,හරිහභරන්
චාමිණි,චාම්ණි,ඈඝඑචාමිණනි
දේවරාජගේ,දේචරාජගේ,දේවරාජගේ
ඩිංගිරිඅම්මා,ඩිංගිරඅම්මා,ඩිංගිරිඅම්මා
සෆ්නා,සඞනා,සෆනා
සුන්දරම්,සුන්දරම්,සුන්දමම්
ලක්මාල්,ේඨජලක්මාල්,ලත්මාල්
සට්ටම්බි,ඞඅසටිටම්බ්,සට්ටම්බ්
අච්චිල්ලාගේ,අබචිචිල්ලාගේ,අච්චිල්ලාගේ
ප්‍රේමතිලක,ජ්‍රේමනිලලට,ප්‍රේමතිලක
ජෙයසීලන්,ජෙයසීලන්,ජෙයසීලන්
කිත්සිරි,හිතයිද,කිත්සිරි
අචිනි,යඅවිතනි,අචිනි
ජනේෂ,ජනේෂ,ඞජනේෂ
රන්මැණිකා,රන්මැණිකා,රන්මැණිකා
සපුතන්ත්‍රිගේ,සපුතනන්ට්‍රිනේ,සපුතන්ත්‍රිගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
නජාස්දීන්,නපාස්දීන්,නජාස්දීන්
සෆ්‍රාන්,සෆ්‍රාන්,සළාත්
ලක්‍ෂිත,ලකක්‍්ෂත,ඞලක්ෂත
කරුණාරත්න,කරැණාරත්න,කරුණාරත්න
සරත්චන්ද්‍ර,සරත්චන්ද්‍ර,සරත්චන්ද
ඒකනායක,චිකනායක,ඒකනායකං
අබේරත්න,අබේරත්න,ඈඅබේරත්න
කායත්තිරි,කායන්නිර,කායත්තිරි
තෙන්නකෝන්,තෙන්නකෝන්,තෙන්නකෝන්
පුස්පදේව,පුස්පදේඩ,ඞඈපුස්පදේව
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ගෙදර,ගෙදර,ගෙදර
ප්‍රබෝධ,ප්‍රබෝඊධඨක්,ඞපඑබෝධ
පියුමි,පියුවි,ජරිරුමි
මනෝජිතන්,මනෝජිතන්,මනෝජතන්
හපුතන්ත්‍රි,සහපුතන්ට්‍රි,ඞහපුතන්ත්‍රි
ෆවුස්,ෆවුහ්,එවුස්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සෝමදේව,සෝමදේව,ඞඈසෞෝමදේව
දිසානායක,දිසානායක,දිසානායක
වෙඩික්කාර,වෙඩ්ික්කාර,වෙඩික්කාර
නිෂායා,නිෂායා,නිෂායා
පියල්,පියල්,පියල්
සරත්,සරත්,සරත්
මල්කාන්ති,ඞඨමල්කාන්නිං,මල්කාන්ති
නදීකා,නදිකා,නදිකා
ඉන්ද්‍රා,මන්දා,න්දා
සමරකෝන්,සමරබඛෝන්,සමරකෝන්
ශාන්ති,ශාන්ති,ශාන්ති
දිල්ශාන්,ඞඇදිල්ශාන්,දිල්ශාන්
මදුසිකා,මදුසිකා,ඞඟමදුසිකා
පුස්සෙවත්තෙ,පුස්සෙවන්තෙ,පුස්සෙවත්තෙ
හර්ෂණී,ඨභර්ෂමම,හර්ෂ
ගුණසීලි,ඞඝගුණසිලි,ඞඝගුණසීිලි
හේමසිරි,හේමසිට,ඞහේමසිරි
චමක,චමක,චමක
රංකොත්,රංකොත්,ඞරංකොත්
සිල්වා,සිල්වා,ඛඞසඞසිල්වා
මහේෂිකා,මනේෂිකා,ඞඈමගශේෂිකා
සියාම්,ඩසියාම්,ේඔඝසියාම්
ඉමල්ෂ,ඞමවමෙල්ෂ,ඞඛඅගඑඇමල්ෂ
සේගුතම්බි,සේගුතම්බ්,සේගුතම්බි
අරුලානන්දම්,අරැලානන්දම්,අරුලානන්දම්
මංජුලා,ඞමංජුලා,ඞවමංජුලා
අබුල්,අබුල්,අබුල්
ගෙදර,ගෙදර,ගෙදර
රහුනාදන්,රහුනාදන්,රහුනාදන්
මහවිතාරනලාගේ,මහවිතාරනලාගේ,මහව්තාරනලාගේ
කුඹල්ගොඩ,කුඹල්ගොඩ,කුඹල්ගොඩං
සුසිල්,සුසිල්,සුසිල්
රොස්මින්,රොස්මින්,ශරොස්මින්
චන්ද්‍රා,චන්ද්‍රා,වනදා
දසනායක,දසනායක,දසනායක
අක්මීමන,අක්මීමන,ේඅක්මීමන
මැණිකේ,මැණිකේ,මැණිකේ
ජෝශප්,ඛේඞඝපෝශප්,ජෝශප්
සේගුඩීන්,ඞේශඨසේගුඩීන්,ඞසේගුඩීන්
ජයලත්,ජයලත්,ජයලත්
කහදවේගම,කහදවේගම,කහදවේගම
පුෂ්ප,පුෂ්ථට,යපුෂ්ප
බ්‍රාහ්මන,බ්‍රාහ්මමා,ඞඝබ්‍රාහ්මන
ප්‍රේමරත්න,ප්‍රේමරත්න,ප්‍රේමරත්න
දිසානායක,දිසානායක,දිසානායක
නවරත්නලාගේ,නවරත්නලාගේ,නවරත්නලාගේ
කංකානම්,කංකානම්,කංකානම්
දිසානායක,දිසානායක,දිසානායක
කුමාරි,බුමාර්,කුමාරි
සරත්,සරත්,සරත්
රාමචන්ද්‍රන්,රාමචන්දන්,රාමචන්දන්
හේෂානි,නේෂානි,ගේෂානි
හේරත්,හේරත්,හේරත්
නිපුන්,නිපුන්,නිපුන්
අනුරේඛා,අනුරේඛධා,අනුරේඛා
සංජීවනී,සංජීවනී,සංජීවනී
සෙනෙවිරත්නගේ,සෙනෙචිරත්නගේ,සෙනෙචිරත්නගේ
නාලක,නාලක,නාලක
සුනේත්‍රා,සුනේත්‍රා,සුනේත්‍රාං
රාජකරුණාලත්,රාජකරැණාලත්,රාජකරුණාලත්
සාජීතා,සාජීතා,උපසාජිතා
පරණගම,පරණගම,පරණගම
දේවගේ,දේවගේ,දේවගේ
ඉන්ද්‍රා,නේද,ඉනදාා
නේසමනි,ඞඈනේසමනි,නේසමනි
හේරත්,හේරත්,හ්රත්
නිමාල්,නිමාල්,නිමාල්
කුසුමාවතී,කුසුමාවනී,කුසුමාවතී
මොහම්මදු,මොහම්මටු,මොහම්මදු
ප්‍රමෝද්‍ය,ඇඉප්‍රමෝදල,ප්‍රමෝද්‍යා
ජයවර්ණසිං,ජයවර්ණසිං,ජයවර්ණසිං
රාජපක්ෂ,ඞඨඈශරාජපක්ෂ,ඨජරාජපක්ෂ
පාතිමා,පාතිමා,පාතිමා
කමලනාත්,කමලනාන්,කමලනාත්
චමිල,චම්ල,චමිල
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
මොහොමඩ්,මොහොමඩ්,මොහොමඩ්
කුමාර,කුමාර,කුමාර
ටිකිරාගේ,වටිබිරාගේ,ටිකිරාගේ
නිසලි,භිසලි,නිසලි
මොහමඩ්,මොහමඩ්,මොහමඩ්
තුන්පැලේ,ඇතුන්පැලේ,තුන්පැලේ
කුමාරි,බමාරි,ඞකුමාරි
වඩුගේ,වඩුගේ,වවූගේ
ක්‍රිෂ්නන්,බ්‍රිෂ්නන්,කිෂනන්
ලක්ෂිමා,ලක්‍ෂිමා,ලක්ෂ්මා
දනුෂ්ක,දනුෂ්ඛඞ,දනුෂ්ක
සාන්ත,සාන්ත,සාන්ත
කටුවන,කටුවන,කටුවන
ඉන්ද්‍රානි,ම්ද්‍රානි,ඉන්දානි
කලුපහනගේ,කලූපනනගේ,කලූපහනගේ
බලගම,බලගම,ඛඨඝබලගම
අතුකෝරලගේ,අතුකෝරලගේ,අතුකෝරලගේට
කවින්දි,කවින්දි,කවින්දි
බණ්ඩා,බණ්ඩා,බණ්ඩා
මාජුවාන,මාජුවාන,මාජුවාන
බණ්ඩාර,බණ්ඩාර,බණ්ඩාර
රත්නායක,රත්නායක,රත්නායක
ඉන්ද්‍රාංගි,සඞඟමන්ද්‍රාගි,ඉන්දාංගි
හමීදු,මදු,මදු
සදමාලි,සදමාලි,සදමාලි
වසම,වසම,වසම
කුසුමලතා,කුසුමලතා,කුසුමලතා
රංගන,රංගන,රාගශන
ෆාතිමා,ෆාතිමා,ෆාතිමා
ගුණසේන,ගුණසේධක,ගුණසේන
ලක්මිණී,ලක්මව,ඞලක්ම්ම්
රිස්වි,රඊස්වී,රිස්වි
රාජපක්‍ෂ,රාජපක්පස,රාජපක්සු
මුනව්වර්,ඞමුනච්චර්,මුනව්වර්
ඒකනායක,චකනායක,ඞඒකනායක
වසන්ත,වසන්න,වසන්ත
සේනානායක,සේනානායක,සේනානායක
අගලකැපු,අගලකබැපු,සඞඅගලකැපු
පියවීර,පියවර,පියවීර
ඉන්රජිත්,ඞේඞමන්‍රජත්,ඉන්රජිත්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
අධිකාරි,ඞඉඅධිකාර,අධිකාරි
ගාමිණී,ගාම්ව,ගාම්ජු
රණසිංහ,රණසිංහ්‍යං,රණසිංං
මිලාන්,ඞමිලාන්,මිලාන්
සමරසුන්,ඞසමරසුන්,සමරසුන්
තන්ත්‍රිගේ,ඞතන්තබත්‍රිගේ,තන්තිගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
කුඹුක,ඬඞඝකුඹුධඛ,තුඹුක
හඳපාන්ගොඩ,හඳපාන්ගොඩ,හඳපාන්ගොඩ
ගොඩගේ,ගොඩගේ,ගොඩගේ
විජේසිංහ,ඞචිජේසිංහ,විජේසිංහ
යසසුරු,ගසයුරු,ඞයසසුරු
සොයිසා,සොයිසා,සොයිසා
පුවනේස්වරි,පුවනේස්වට්,පුවනේස්වරි
පත්මකාන්ති,පත්මකාන්ති,පත්මකාන්ති
හේරත්,සඞඉහේරත්,ගේත්
ශසංක,ඞඝශසංක,ශසංක
පෙරුමාල්,පෙරැමාල්,පෙරුමාල්ං
මධුෂානි,මධුෂානි,මධුෂානි
ආරච්චි,ආරච්චි,ේඞඝආරච්ච්ි
චතුර,චතුර,චතුර
උපාලි,උපාලි,උපාලි
සසංගි,සිසංගිා,ඛඞඝඛසසංගි
සමන්ත,සමන්ත,සමන්ත
හසල,හසළ,හසල
තම්බිරාලලාගේ,තම්බිරාලලාගේ,තම්බිරාලලාගේ
මෙරිල්,ඞමෙරල්,මෙරිල්
ඉමාලි,මොලිි,ඉමාලි
විජේවීර,විජේවීර,ඞඈඉවිසේවීර
උදය,යඑදය,උදය
ඔවිඳු,ඕව්ඳු,වද
නිරෝෂා,ඞසනිරෝෂා,ඞනිරෝෂා
සඳුනි,සඳුනි,සඳුනි
නන්දාවතී,නන්දාවතී,නන්දාවතී
මනම්පේරි,මනම්පේරේ,මනම්පේරි
අච්චු,අච්චු,අචුවු
සන්ධ්‍යා,සන්ධාන,සන්ධ්‍යා
වර්ණකුලසූරිය,වර්ණකුලසූරිය,වර්ණකුලසූරිය
නිලක්ෂි,නිලක්ෂි,නිලක්ෂිං
දිසානායක,දිසානායක,දිසානායකං
පීරිස්,පිර්ස්,පිරිස්
ඇන්ටන්,ඞඇන්ටන්,ඞඇඉඅඇන්ටන්
බදූදු,බුරු,බැං
සුමේශ්,ඞඉසුමේශ්,ඛඞසුමේශ්
කෝනේෂ්වරන්,කෝනේෂ්වරන්ං,කෝනේෂ්වරන්
වික්‍රම,එචිත්‍රම,වික්‍රම
එමැනුවෙල්,චමැනුවෙල්,එමැනුවෙල්
පුනිදා,පුනිදා,පුතිදා
මොහමඩ්,මොහමඩ්,මොහමඩ්
සින්තුෂන්,සින්තූමන්,සින්තුමන්
අකුරංගේ,අකුරංගේ,අකුරංගේ
කොරට්ට,කොරට්ට,ඞශකොරට්ට
ප්‍රියන්ති,ප්‍රියන්නි,ප්‍රියන්ති
පැලෑඳ,පැලද,පැලෑඳදඳ
බුත්පිටියේ,ඞබුත්පිටිය්,බුත්පිටියේ
උම්මු,උම්මු,රම්මු
ආතෙන්,ආතෙන්,ඇආතෙන්
දිලිප්,දිලිප්,දිලිප්
ජයතිස්ස,ජයතිස්ස,ජයතිස්ස
සිවපාලචන්ද්‍රන්,සිවපාලචන්ද්‍රන්,සිවපාලචන්දුන්
මධුසංක,ඞඈමධුසංක,ඛඞඝඇමධුසංක
ජයසිරි,පයසිර්,ජයසිරි
කොළඹ,කොළඹ,ඞඨකොළඹබ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
තාරක,වරක,තාරක
මහම්මදු,මනම්මලදු,ඛඞමහම්මදු
ධම්මිකා,ධම්මිකා,ධම්මිකා
ප්‍රබෝධණී,ප්‍රබෝධධ,ප්‍රබෝධගෆඞ
අමර,අම,අමර
නවශක්තිවේල්,නචශක්තිවේල්,නවශක්තිවේල්
කුලතුංග,කුලතංග,හකුලතුග
කොටවිල,කොටවිල,ඞකොටවල
කිරින්ද,කිරින්ද,කිරින්ද
මොහමඩ්,මොහමඩ්,මොහමඩ්
කනකසූරියම්,කනකසූරයම්,කනකසූරියම්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සුසිරිපාල,සුසිරිපාල,සුසිරිපතාල
ඉද්දමල්ගොඩ,ඉද්දමල්ගොඩ,ඉද්දමල්ගොඩ
ලිශ්විනියා,ලිශ්විනියා,ලිශ්විනියා
මංජුල,මංජුළ,මංජුල
රවිචන්ද්‍රන්,ඛඞසඇඅරචිචන්දුන්,ඞඇඅරවචිචන්දුන්
කහටපිටිය,කහටපිටිය,කහටපිටිය
සිල්වා,සිල්වා,සිල්වා
මදුෂානී,ඞඝමරදුෂානී,මදුෂානී
තරංග,තරංග,තරංග
චමින්ද,චම්න්ල,චමින්ද
හීන්නිලමේ,හින්නිලමේ,හීන්නිලමේ
රාජපක්ෂ,රාජපක්ෂ,රාජපක්ෂ
සිරීකරන්,සිරකරන්,සිරිකරන්
අහමඩ්,යඅහමඩ්,අහමඞ්
රංජනී,රංජනී,රංජනී
ගර්ටි,ගර්ව්,ශර්ට්
තනිප්පේරුගේ,තනිප්ප්‍රැගේ,තනිප්පේරුගේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
සුමනාවතී,සුමනාවතී,සුමනාවතී
දියගු,දියයු,ංදිය්‍ර
ප්‍රියංගිකා,ප්‍රියංගිකා,ප්‍රියංගිකා
රාලලාගේ,රාලලාගේ,රාලලාගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ගොඩගේ,ගොඩගේ,ගොඩගේ
උම්මා,උම්මා,උම්මා
අනිල්,අනිල්,අනිල්
නවරත්තිනරාජා,නවරත්තිනරාජා,නවරත්තිනරාජා
මිදුර්ෂාන්,මිදුර්ෂාන්,මිදුර්ණාන්
සෙව්වන්දි,සෙව්වන්දි,සෙච්වන්දි
යද්දෙස්සලාගේ,යද්දෙස්සලාගේ,යද්දෙස්සලාගේ
ප්‍රදිප්,ගරප්‍රුරිප්,පුදුප්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
වලාකුළු,චලාකුළු,ේශවලාකතූථ
අමරසිංහ,අමරසිංහ,අමරසිංං
උත්පලා,උත්පලා,ආජඑඑත්පලා
සුදර්ශනි,ඨඤසුදර්ශනි,සුදර්ශනි
සෙබස්තියාම්,සෙබස්තියාම්,සෙබස්තියාම්
ලියනමාන,ලියනමාන,ලියනමාන
පුන්කොඩි,පුන්කොඩි,පුන්කොඩිං
අළුත්,අළුත්,අළුත්
දසනායකගේ,දසනායකගේ,දසනායකගේ
ඩිලානි,ඩිලානි,ඩිලානි
ශ්‍රියාණි,ශ්‍රියානිං,ශ්‍රියානි
කොළඹගේ,කොළඹගේ,කොළඹගේ
සඳරුවන්,සඳරුවන්,සඳරුවන්
දෙහිගොල්ලේ,දෙහිගොල්ලේ,දෙහිගොල්ලේ
විජේන්ද්‍ර,ඞඅවිපේන්දු,ංවිජපේන්ද
මරක්කල,මරක්කල,ඞඬඉමරක්කල
දිල්රුක්ෂිකා,දිල්රැක්ෂිකා,දිල්රුක්ෂිකා
වානියා,චානවයා,වානියා
වල්ගමගේ,වචල්ගමගේ,වල්ගමගේ
සාරංගා,සාරංගා,සාරංගා
රෆීක්,රෆික්,ඞරජක්
රත්නායක,රත්නායකං,රත්නායක
ගම්පොලගේ,ගම්පොලගේ,ගම්පොලගේ
වික්‍රමසිංහ,විබඛ්‍රමසිංහ,වික්‍රමසි
පැලවත්ත,පැලචත්ත,පැලවත්ත
ප්‍රදීප්,ප්‍රදීප්,ඉවුදීජ්
ෂනුක,මනුක,තුක
තස්ලීම්,ඞඨතනස්ලිම්,ඞශඉතස්ලීම්
ජයවර්ධන,ජයවර්ධන,ජයවර්ධන
හෙට්ටිගේ,ඞසනෙට්ට්ගේ,හෙට්ටිගේ
මානෙල්,ඬමානෙල්,ඞශමානෙල්
සන්දිරකුමාර්,සන්දිරඛුමාර්,සන්දිරකුමාර්
විදුෂ,විරුගභ්‍ය,විදු
නිලූකා,නිළුකා,නිලුකා
විජේතුංග,වචිජපේතුංග,විජේතුංග
සුදර්ශන්,සුදර්ශන,සුදර්ශන්
පුස්පානන්තන්,පුස්පානන්තන්,පුස්පානන්තන්
පෙරමුණ,පෙරමුණ,සඋපෙරමුණ
දේවිකා,දේවිකා,දේවිකා
වයිරමුද්දු,වියිරමුද්දු,වසිරමුදදු
අමායා,ඬඞඝඅමායා,ඞඝඅමායා
වික්‍රමසිංහ,වික්‍රමසිංහ,වික්‍රමසිංහ
කුමාර,කුමාර,කුමාර
කහටපිටි,ෙඈකනටපිටි,කහටපිටි
ඒකාංගි,චිකාංගි,ඒකාංගි
කුමාරි,කුමාර,කුමාරි
කුමාර්,බමාර්,කුමාර්
පටබැඳිගේ,පටබැඳුගේ,පටබැදඳිගේ
පතිවිදානලාගේ,පතිවිදානලාගේ,පතිවිදානලාගේ
සිරිල්,සිර්ල්,සිරිල්
ප්‍රසන්න,ප්‍රසන්න,ප්‍රසන්න
පතිරන,පතර,පතිරනර
අමුණ,අමුණ,අමුණු
මුල්ල,මුල්ල,මුල්ල
මුදලිගේ,මුදලිගේ,මුදලිගේ
පන්නිල,පන්නිල,ධඈභඟපන්නිල
සුසන්තා,සුසන්තා,සුසන්තා
පරීදා,එදා,එරදා
කරුපයියා,කරුපයියා,කරුපයියා
මුලාචාරිගේ,මුලාචාර්ගේ,මුලාචාරිගේ
දිමින්ගු,ඞදිමින්න,දිමින්න්
ලියනගේ,ලියනගේ,ලියනගේ
කරුණාරත්නගේ,කරැණාරන්නගේ,කරුණාරත්නගේ
වර්ණකුල,වර්ණකුල,වර්ණකුල
රම්බංඩාගේ,රම්බංඩාගේ,රම්බංඩාගේ
විතානගේ,ඇචිතානගේ,විතානගේ
වත්තේ,චත්ත්ේ,වත්තේ
