original,Malith,Abhaya
සුජාතා,සුරපාතා,සුජාතා
පෙරේරා,ඞපෙරේරා,පෙරේරා
අචලා,අවලා,අවලා
ජිනේන්ද්‍රි,පජිනේන්දි,ජිනේන්ද
කාවින්ද,කාවින්ද,කාවින්ද
කොහොවලයලෑ,කොහොවලයලෑ,කොහොවලයලෑ
නිල්මිණි,නිල්මිනි,හඞඇතනිල්මිනි
ජෝතිමනී,ජෝතිමනී,ශජෝතිමනී
මහදුරගේ,මහරදුරගේ,මහදුරගේ
නව්ෆල්,නචි්ෆල්,ඞනවිෆල්
ගෙදර,ගෙදර,ගෙදර
පන්නිලගේ,පන්නිලගේ,පන්නිලගේ
ශලින්ද,ශලින්දු,යශලින්ද
කෝස්මපටබැඳිගේ,කෝස්මපටබැඳගේ,කෝස්මපටබැඳිගේ
වර්ණකුලසූරිය,වර්ණඛුලසූරය,වර්ණකුලසූරිය
කන්දසාමි,කන්දසාම්,කන්දසාම්ං
ප්‍රගීත්,ප්‍රගීත්,ංප්‍රඨීත්
මහේෂා,මහේෂා,මහේෂා
ධනංජය,ධනංජය,ධනංජය
තරිඳු,තද,නිද
ගෙදර,ගෙදර,යගෙදර
අසෝකා,අසෝකා,අසෝකා
ප්‍රියන්ගනී,පිියන්ගනී,ප්‍රියන්ගනී
අබේවීර,අබේවීර,ේඅබේවීර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
හංගිලි,හංගිලි,හාගිලි
කුසුමලතා,කුසුමලතා,කුසුමලතා
කළුහෙන්දිවෙල,කළුනෙන්දිවෙල,කළුහෙන්දිවෙල
අනිල්සිරි,අනිල්සිට,ඞඅනිල්සිරි
තෙන්නකොන්,තෙන්නකොන්,තෙන්නකොන්
කිලිංඩන්,බිලිංඩන්,ඞහකිලිංඞන්
පන්චාඩ්වරම්,පන්චාඩ්ිවරම්,පන්චාඩ්වරම්
චරිත්,බන්,චරිත්
විජේශාන්ති,විජේශාන්නි,විජේශාන්ති
රාජපක්ෂ,රාජපක්ෂ,ඞශරාජපක්ෂ
හේරත්,ඞඛහේරත්,්‍යගහගේරත්
සමරසිංහ,සමරසිංහ,ශසමරසිං
ලක්‍ෂ්මන්,ලකක්‍්ෂ්මන්,ලථලක්ෂ්මන්
සන්ධ්‍යා,සන්ධ්‍යා,සන්ධාා
ගෙදර,ගෙදර,ගෙදර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
රංජනී,රංජනී,රංජනී
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
සෙනෙවිරත්න,සෙනෙවිරත්න,සෙනෙවිරත්න
ආනන්ද,ආනන්ද,ආනන්ද
තරිඳු,ත්ඳු,තරිදු
පීරිස්,විර්ස්,විරිස්
වීරසිංහ,චිරසිංහ,විරසිංහ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
කොළඹමහපටබැඳිගේ,කොළඹමහපටබැඳිගේ,කොළඹමහපටබැඳිගේ
තෙල්ගේ,තෙල්ගේ,තෙල්ගේ
වීරසිංහ,ඞඈඉවීරසිංහ,වීරසිංහං
වීරරත්න,චීිරරත්න,වීරරත්න
තියාකරාසා,තභියාකරාසා,තියාකරාසා
ජෙයරාසා,ජපෙයරාසා,ජෙයරාසා
ප්‍රදීපා,ප්‍රදිථයා,ප්‍රදීපා
මාලිම්බඩ,මාලිම්බඩ,මාලිම්බිබඩා
පේමදාස,පේමදාස,පේමදාස
මානන්දුවගේ,මානන්දුවගේ,මානන්ද්‍රවගේ
කෞශල්‍යා,කෞශල්‍යා,කෞශල්‍යා
දේවයලාගේ,දේවයලාගේ,දේවයලාගේ
මහේෂ්වරන්,මහේෂ්වරන්,මහේෂ්වරන්
තිලකවති,නිලකවනි,තිලකවති
වෆන්,වලන්,ව්‍යත්
චාමිකා,චාම්කා,චාමිකා
පෙරේරා,ඞශඇරෙරේරා,පෙරේරා
වත්සලා,වත්සලා,ඞවත්සලා
අවිශ්ක,අවිශ්ශ,අවිශ්ක
ආරච්චි,ආරච්ච්,ආරච්චි
සුනිල්,සුවර්,සුනිල්
තරිදු,ැවර්ලදු,තාදු
