original,Malith,Abhaya
රංග,රංග,රං
පසන්,රසත්,පසන්
ප්‍රදීපන්,ප්‍රදීපන්,ප්‍රදීපන්
ශිල්පාධිපතිගේ,ශිල්පාධිපතිගේ,ශිල්පාධිපතිගේ
සිරිනිමල්,සිරිනිමම්,ඞසඇසිරිනිමල්
තලාවේ,තලාවේ,ේඞතලාවේ
ඉඳුරුවේ,ඞඉළුරුවේ,ඉඳුරුවේ
මධුසංඛ,මධුසංඛ,මධුසංඛ
ප්‍රතීෂා,ප්‍රතිපා,ප්‍රතිෂා
අධිකාරි,අධිකාර්,අධිකාරි
නිරුෂි,නිරුෂි,නිර්
ගුත්තිලා,ගුත්තිලා,ගුත්තිලා
පිලාන,පිලාන,පිලාන
කංකානමලාගේ,කංකානමලාගේ,කංකානමලාගේං
මාපලගම,ඞඈමාපලගම,මාපලගම
ලොකුසිංගප්පුලිගේ,ලොකුසිංගප්පුලිගේ,ලොකුසිංගප්පුලිගේ
කිරුෂාන්ද්,කිරැෂාන්ද්ං,කිරුෂාන්ද්
ලසන්ත,ලසන්න,ලසන්ත
හිස්සැල්ල,හිස්සැල්ල,හිස්සැල්ල
ජයරත්න,ජයරත්න,ජයරත්න
කන්දසාමි,කන්දසාම්,කන්දසාම්ං
රෝහිනී,ඛඞමරෝභිනී,රෝහිනී
කමලනාදන්,කමලනාදන්,කමලනාදන්
මොහොමඩ්,මොහොමඩ්,මොහොමඩ්
නිල්මන්,ඞඇසනිල්මන්,නිල්මන්
කුමාරතුංග,කුමාරතුංග,කුමාරතුග
අචලා,අචලා,ඛඛඞඝඔඅචලා
ලලිත්කරන්,ලලිත්කරන්,ඞලලිත්කරන්
මීගොන්පට්ටි,මීගොන්පට්ටි,මීගොන්පට්ටි
අතුරුගිරි,අතුරුගිර්,අතුරුගිරදි
නිශාන්,නිශාන්,නිශාන්
කළුආරච්චි,කළුආරච්චි,ඞකළඵආරච්චි
හේරත්,හේරත්ං,හේරත්
තුන්පනේගෙදර,තුන්පනේගෙදර,තුන්පනේගෙදර
ප්‍රදීප්,ඉංප්‍රදුලු්,ප්‍රදීප්
ජෝෂප්,ජෝෂ්,ජෝෂප්
පන්නල,පන්නන,පන්තල
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේං
විජහිං,විජනිත,චිජනිං
මිහිඳුගේ,මිහිඳුගේ,මිහිදුගේ
කංකානම්ගේ,කංකානම්ගේ,කංකානම්ගේ
උපාලි,උපාලි,උපාලි
විමලදාස,විමලදාස,ඞඈඝවිමලදාස
රාමනායක,රාමනායක,රාමනායක
නිශාන්ති,ඞනිශාන්නි,නිශාන්ති
සිවනේසන්,සිවනේසන්,සිවනේසන්
ලියනගේ,ලියනගේ,ලියනගේ
රහුබද්ද,ඊහුබද්ද,ජරහුබදද
පයියාගල,පයියාගල,ඞපසියාගල
තංගයියා,තංගයියා,තංගයියා
ඩිල්ෂාන්,ඩිල්ෂාන්,ඩිල්ෂාන්
ආරියසිරි,ආර්යසිරට්,ආරියසිරි
ශශිකලා,ශෂිකලා,ඛඞශශිකලා
මුණසිංහ,මුණසිංං,මුණසිංං
හසන්තිකා,තසන්නිකා,හසන්තිකා
මාපාහාමිලාගේ,මාපාහාම්ලාගේ,මාපාහාමිලාගේ
විල්සන්,ංචිල්සන්,ඇඊවිල්සන්ප
මොහොට්ටාලලාගේ,මොහොටිටාලලාගේ,මොගොට්ටාලලාගේ
අරෝකියනාතර්,අරෝකියනාතර්,අරෝකියනාතර්
කුහනේෂන්,කුනනේ්ෂන්,කුගනේෂන්
ප්‍රනාන්දු,ප්‍රනාන්ද්‍රා,ප්‍රනාන්ද්‍ර
කරුනාවතී,කරුනාවතී,කරැනාවතී
පියදාස,පියදාස,පියදාස
ගෙදර,ගෙදර,ගෙදර
අධිපත්තු,අධිපත්තු,අධිපත්තු
දේවේන්ද්‍ර,ශඅදේවේන්ද්‍රු,ඞදේවේන්ද
දයාවංශ,දයාචං්‍ය,දයාවංශ
ඉන්දික,ඞමවනේදික,බඉන්ඳික
කුඹුරෙලාගේ,කුඹුරෙලාගේ,කුඹුරෙලාගේ
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
ආරිෆ්,ආර්ශග්,ආරිෆ්
අබ්දුල්,අබ්දුල්,අබදුල්
පහල,පහල,පහල
සිල්වා,සිල්වා,ඞඉසිල්වා
අනෝමා,අනෝමා,අනෝමා
මුහිස්සී,ඛඞමුහිස්සි,ඞමුහිස්සි
සමරවීර,සමරවීර,සමරවීර
දිසානායක,දිසානායක,දිසානායක
මොහමඩ්,මොහමඩ්,ඞමොහමඩ්ං
විජයි,විජයි,විජයි
ධම්මික,ධම්මික,ධම්මික
විජේවීර,විජේවීර,විජේවීර
මොහමඩ්,මොොනතමඩ්,මොහමඩ්
ඉනාස්,ඉනාස්,ඉනාස්
විශ්වාසම්,විශ්වාසම්,විශ්වාසම්
රත්නායක,රත්නායක,රත්නායක
සම්පත්,සම්පත්,ඞේසඞඈඡසම්පත්
නිසංසලා,නිසංසලා,හඇඟනිසංසලාං
සභාපති,සභාපති,සභාපති
යසපාල,යසපාල,යසපාල
මත්තෙස්හාමි,මත්තෙස්නාම්,මත්තෙස්හාමි
ගෙදර,ඞඔඞගෙදර,යගෙදර
සචිකා,සව්ඛබා,සචීකා
ගාමිණි,ගාම්ණි,ගාමිණී
හසිනි,නසිනි,හසිනි
මොහමඩ්,මොහමඩ්,මොහමඩ්
සියමුදලි,සියමුදලලි,සියමුලලි
හර්සිකා,නර්සිකා,ඞඝහර්සිකා
බියෝන්,බියෝන්,බියෝන්
කලපුගේ,ඞකලරුගේ,කලපුගේ
වැලිකන්න,චැලිකන්න,වැලිකන්න
විශ්නෙස්වරන්,විශ්නෙස්වරන්,විශ්නෙස්වරන්
චතුරිකා,චතුරකා,චතුරිකා
සරණසිං,සරණසිංං,ඞසරණසිංං
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සුසන්ත,සුසන්ත,සුසන්ත
වික්‍රමසුරිය,වික්‍රමසුරය,වික්‍රමසුරිය
අනෝමා,අනෝමා,අනෝමා
හෙට්ටි,ඛඞඝඔහෂෙට්ට්,ගෙට්ට්ි
උපුල්,උපුල්,උරුල්
ඉෆාම්,ෆාම්,ඉෆාම්
නිරෝෂනි,වනිරෝෂනි,ඞනිරෝෂනි
පියදිගමගේ,පියදුගමගේ,පියදිගමගේ
කුමාර,කුමාර,යකුමාර
සංකර්,සංකර්,සංකර්
දේශප්‍රිය,දේශපිය,දේශප්‍රිය
රොබේට්කෙන්නඩි,රොබේට්කෙන්නඩ්,රොබෙට්කෙන්නඩ්
හේරත්,ඞහේරත්,හේරත්
රුවිශ්ක,ඞඈරැච්ශ්ක,රැවිශ්ත
මිහිරාන්,ඞඝමිනිරාන්මං,මිහිරාන්
විජලත්,ඞචිජලත්,ඞවිජලත්
ආරච්චිගේ,ආරච්චිගේ,අආරච්චිගේ
ගමගේ,ගමගේ,ගමගේ
පණ්ඩිතරත්න,පණ්ඩිතරත්න,පණ්ඩිතරත්න
ධම්මිකා,ධම්මිකා,ධම්මිකා
ෆ්‍රැන්ක්,ෆ්‍රෑන්ක්,ෆ්‍රැන්තන්
විමලාවති,ඈඇඅචිමලාවනි,විමලාවති
සඳකුමාරි,සඳකුමාර්,ඞසඳතුමාරි
හසංජන,හසංජන,ේහසංජන
උම්මු,උම්මු,උම්මු
ජාසිංහගේ,ජාසිංහගේ,ජාසිංහගේ
චන්ද්‍රා,චන්ද,චන්දා
ෆාතිමා,ඞෆාතිමා,ෆාතිමා
ගල්කන්දේ,ගල්කන්දේ,ගල්කන්දේ
රත්නායක,රත්නායක,රත්නායක
බැන්දිගොඩ,බැන්දිගොඩ,බැන්දිගොඩ
ලලිතා,ලලිතා,ලලිතා
රොන්සුනු,ඈරරොන්සුනු,රොන්සුනු
අනුෂා,අනුෂා,අනුෂා
හේරත්,හේරත්,හේරත්
කවිශ්ක,බවිශ්ක,ඞකවිශ්ක
දිසානායකගේ,දිසානායකගේ,දිසානායනගේ
කුමාරසිංහ,කුමාරසිංහ,කුමාරසිංහ
උබයිදුල්ලා,උබයිදුල්ලා,උබයිදුල්ලා
ෆස්වාන්,ෆස්වචාන්,ෆස්වාන්
දේශානි,ඛඤඞසදේශානි,දේශානිං
රම්‍යලතා,රම්‍යලතා,පරම්‍යලතා
චංකා,වාකා,චංකා
රත්නතිලක,රත්නනතිලක,රත්නතිලකං
ජයන්ත,ඈජයන්ත,ජයන්ත
පුල්ලේ,රපුල්ලේ,ඞපුල්ලේ
අබේකෝන්,අබේකෝන්,අබේකෝන්ං
හේවගේ,ඞනේවගේ,ඞහේවගේ
සමන්,සමන්,සමන්
මේස්ත්‍රිගේ,මේස්ෆග්‍රිගේ,මේස්තිගේ
ශහින්,ඞඛෞේඛඞඝශශහින්,ගහින්
කපුගමගේ,කපුගමගේ,කපුගමගේං
රෝෂන්,රෝනේ,රෝෂන්
මිරාජ්,චිරාජී,මිරාජ්
බෝතලගේ,බෝතලගේ,බෝතලගේ
ඩේවිඩ්,ඩේවීඩි,ඩේවිඩ්
සිසිර,සිසිර,සිසිර
ඒකනායක,චිකනායක,ඒකනායක
මීනලෝගනී,මීනලෝගනී,මීනලෝගනී
සේවියර්,ස්වියව්,සේවියර්
වර්ණකුලසූරිය,වර්ණඛුලසූර්ය,වර්ණකුලසූරිය
ගුරුන්නාන්සේලාගේ,ගුරැන්නාන්සේලාගේ,ගුරුන්නාන්සේලාගේ
දෙනියේ,දෙනියේ,දෙනියේ
පත්මාසිනි,පත්මාසිනි,ඞපත්මාසිීනි
කාදර්,බාර්,කර්
සෙව්වන්දි,සෙව්වන්දි,සෙව්වන්දි
සචින්තා,සචින්තා,සචින්තා
ජහර්දීන්,ඞජනර්දිීන්මං,ජනර්දීන්
ආරච්චිගෙ,ආරච්චිගෙ,අආරච්චිගෙ
සුබසිංහ,සුබසිංහ,ඛඞඝඉසුබසිංහං
කාවින්ධ්‍යා,බාවින්ධ්‍යා,කාචින්ධ්‍යා
රන්මුතුපුර,රන්මුතුපුර,රන්මුතුපුර
ඔසන්,ඔසන්,ඔසයන්
හෙල්අරාවේ,හභෙල්අරාවේ,හෙල්්අරාවේ
විතානගේ,චිතානගේං,විතානගේ
සේනාරත්න,සේනාරත්න,සේනාරත්න
හේරත්,ේඞහේරත්,ගේරත්
ලතෝසිංහ,ලතෝසිංහග,ඞඅලතෝසිංං
ෆරීනා,බර්නා,යෆර්නා
කුමාර්,බමාර්,කුමාර්
ශාලිංග,ඞශාලිංග,ඞශාලිීග
රාජපක්ෂ,රාජපක්ෂ,රාජපක්ෂ
කලුහේවගේ,කලූුනේවගේ,කලූහේවගේ
නවරත්න,නවරත්න,ඞඇනවරත්ත
ප්‍රනාන්දු,ඞඈජප්‍රනාන්දු,ප්‍රනාන්ද්‍ර
රාජකරුණා,රාජකරුණා,රාජකරුණා
ජේරාල්ඩ්,ජ්‍රොල්ඩ්,ජේරාල්ඩ්
ඔක්ටෙවියා,ඔක්ටෙවියා,හඇඔක්ටෙවියා
රුවන්තිකා,රැවන්නිකා,රුචන්තිකා
කනිවිලගේ,කනිවිලගේ,කනිවිලගේ
අජිද්කුමාර්,අපිද්කූමාර්,අරිද්කුමාර්
උම්මා,ළඑම්මා,උම්මා
ස්ටීපන්රෙක්ස්,ස්ටිපන්රෙක්ස්,ස්ටීපන්රෙක්ස්
නන්දා,නන්දා,නන්දා
සදේල,සද්ද,සදේල
ප්‍රියශාන්ති,ප්‍රියශාන්නි,ප්‍රියශාන්ති
කාරියවසම්ගේ,කාරියවසම්ගේ,කාරියවසම්ගේ
සුරම්‍යා,සුරමාා,ඞසුරමරා
නයීමා,නයීමා,නයිමා
වීරරත්න,ඞඇචිරරතන්න,වීරරත්න
බඩල්ගේ,බඩල්ගේ,ඞබඩල්ගේ
ගෙදර,ඞඈගෙදර,ගෙදර
බාලක්‍රිෂ්නන්,බාලබ්‍රිෂ්නන්,බාලක්‍රිම්නන්
ජයලත්,ජයලත්,ජයලත්
වල්ලගොඩ,වල්ලගොඩ,වල්ලගොඩ
බෝගහවත්ත,බෝගහවත්ත,බෝගහවත්ත
මුකුන්දාදුර,මුකුන්දාදුර,මුකුන්දාදුර
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
රංජිත්,රංජිත්,රංජත
අජිත්,අපිත්,අජිත්
රාල්ලාගේ,රාල්ලාගේ,රාල්ලාගේ
ප්‍රනාන්දු,ේශඈළනාන්ද්‍ර,ප්‍රනාන්දු
අජිත්,අපිත්,අජිත්
චින්තනී,චින්නනී,චින්තනී
කුලසිංහ,ඞසකුලසිංහ,ඞකුලසිංංං
දිලුෂා,දිල්ඝා,දිලුශා
ප්‍රනාන්දු,ප්‍රනාන්දුං,ප්‍රනාන්දු
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
තමිල්,තම්ල්,තමිල්
නිලක්ෂ,නිලක්ෂ,නිලක්ිෂ
ශ්‍රීයාමනි,ඞශ්‍රියාමනි,ඛධඞසඇශ්‍රියාමනි
ලක්‍ෂිත,ඉකක්‍්ෂ්ත,ඞලක්ෂත
ලීලාවති,ලීලාවවනී,ලීලාවනි
කුමාරි,කුමාර්,කුමාරි
මුහම්මද්බුක්කර්,මුහම්මද්බුක්කර්,මුහම්මද්ඛුක්කර්
සුනිල්,සුනිල්,සුනිල්
ආරච්ච්,ආරච්චි,ආරච්ච්
ඉනෝකා,ඉනෝකා,ඉනෝකා
නිල්මිණි,ඞනිල්මිනි,නිල්මිණි
පද්මිණී,පද්ම,පද්ම
ප්‍රසාද්,ප්‍රසාද,ප්‍රසාද්
අජිත්,අපත්,අජිත්
මධුශංක,ඞහමධුශංක,මධුශංක
නන්දසේන,නන්දසේන,නන්දසේන
මොහමඩ්,මොහමඩ්,මොහමඩ්
අම්පිගාපත,අම්පිගාතපත,අම්පිශාපත
ජයසුන්දර,ජයසුන්දර,ජයයුන්දර
අංජලී,අංජලී,අංජලී
එපිට,එපිට,යඑපිට
චරිතා,චරිතා,එරිතා
ඉමාන්ජීන්,ඞමුමාන්ජීන්ං,ඉමාන්ජින්ං
කොරේරා,කොරේරා,කොරේරා
පෙරේරා,ඞපෙරේරා,පෙරේරා
සුබ්‍රමනියම්ගේ,සුබ්‍රමනියම්ගේ,සුබ්‍රමනියම්ගේ
සම්පත්,සම්පත්,සම්පත්
වලර්මති,ඞවචලර්මති,ඞඇවලර්මති
පරගහමඩිත්තේ,පරගනමඩිත්තේ,පරගහමඩිත්තේ
පියුමාලි,ඞඤඡපියුමාලි,පියුමාලි
ගෙදර,ගෙදර,ගෙදර
ක්‍රිෂාන්ත,ක්‍රිෂාන්න,ඞක්‍රිෂාන්ත
දසනායක,දසනායක,දසනායක
මේදිනි,මේදනි,මෙදිනි
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
දමයන්ති,දමයන්නි,දමයන්ති
වත්තේ,හඛඇගංචත්තේ,වත්තේ
මොහමඩ්,මොහමඩ්,ඞඈඉමොහමඩ්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේට
දයාංගනි,දයාංගනි,දුයාංගනි
ප්‍රනාන්දු,ළ්‍රනාන්ද්‍රු,ප්‍රනාන්දු
රම්ෂි,රම්ෂ්,රමෂි
විකක්‍රමගේ,චිකකබ්‍රමගේ,චිකක්‍රමගේ
සමන්මාලි,සසමන්මාලි,ඞසමන්මාලිං
රත්නසිරි,ඞඉරත්නසිළරි,රත්නසිරි
අත්තනායක,අන්තනායක,අත්තනායකකං
පිටිවිල,පිටිවිල,පිටිවිල
පොන්නුත්තුරෙයි,පොන්නුත්තුරෙයි,පොන්නුත්තුරෙයි
සංගීතා,ඞඅසංගීතා,සංගීතා
වීරසිංහ,වීරසිංහ,විරසිංහං
රදම්පල,රදම්ිළු,ේරදම්ප්ල
තුප්පහිගේ,තුප්පහිගේ,තුප්පහිගේ
තිලක්,යසිටප්ක්,නිලක්
සරත්,සරත්,සරත්
ගෙදර,ගදුර,ගෙදර
පියුමි,පියුම්,වියුමි
දෙවකාර,දෙවකාර,ේසපනදෙවකාර
වීරසිංහ,වීරසිංහ,විරසිංහ
හස්මි,හස්ම්,හස්ම්
රජිත්,එපිත්,රත්
උෂාර,දුෂපාර,උෂාර
දේවයලාගේ,දේවයලාගේ,දේවයලාගේ
හිමාලි,හිමාලි,හිමාලි
ඉබුරාගිම්,ඞේශහමබුරාගිම්,ඛඞඉබුරාගිම්
විජේසිංහ,විජේසිංහ,විජේසිංං
මුණසිංහ,මුණසිංහ,ඞමුණසිංම
උසන්ලෙබ්බේ,උසන්ලෙබ්බේ,උසන්ලෙබ්බේ
කංකානම්ගේ,කංකානම්ගේ,කංකානම්ගේ
කුමාරසිංහ,කුමාරසිංහ,කුමාරසිංහ
රනතුංග,ඛශඞඇරනතුංග,ේඊරනතුංග
ධනවන්ති,ධනචන්ති,ධනවන්තිං
ෆාතිමා,ගානිමා,ෆාතිමා
ගෙදර,මගදුර,ගෙදර
වළගොඩ,ඞචළගොඩ,ඞවළගොඩං
බනුෂා,බනුමා,බනුෂා
රංජිත්,රංජිත්,රංජිත්
විජේසුන්දර,වචිපේසුන්දර,විජේසුන්දර
විජේසේකර,චිජේසේකර,විපේසේකර
ආරුමුගම්,ආරුමුගම්,ඞආරුමුගම්
ගමගේ,ගමගේ,ගමගේ
සුපුන්,සුපුන්,සුපුන්
ගලඋඩගේ,ගලඋඩගේ,ඞඈශගලඋඩගේ
කොන්ඩසිංහ,කොන්ඩසිංහං,කොන්ඩසිංහ
කුමාර,කුමාර,කුමාර
තන්තිරිවත්ත,තන්නිරවතන්න,තන්තිරිවත්ත
සුරවීර,සුරවීර,සුරවීර
ප්‍රසංගිකා,ප්‍රසංගීකා,ඞප්‍රසංගීකා
වත්තේගෙදර,චත්තේගෙදර,වත්තේගෙදර
මුහන්දිරම්ලාගේ,මුහන්දිරමිලාගේ,මුහන්දිරම්ලාගේ
ඉන්ද්‍රා,ඉන්ද්‍රා,ඉන්දා
රවිඳු,රවිදු,රවිදු
ආරච්චිල්ලාගේ,ආරච්චිල්ලාගේ,ආරච්චිල්ලාගේ
නුස්රත්,ඞඉනුස්්‍රරත්,කුස්රකනක්
ජෙයකාත්,පජපෙයකාත්,ජෙයකාත්
කහාපොල,කහාපොල,කහාපොල
ඉනෝකා,ඞහනෝකා,ඉනෝකා
විදුසියා,විරසියා,විදුසියා
උක්වත්තගේ,උක්වත්තගේ,උක්චත්තගේ
රියාස්,රියාස්,රියාස්
නාගයියා,නාගයියා,නාගයියා
මුදියන්සෙලාගේ,මුදියන්සෙලාගේ,මුදියන්සෙලාගේ
කුනරෙත්තිනම්,කුනරෙත්තිනම්,කුනරෙත්තිනම්
කොහොන,කොහොන,කොගොන
අතීල්,අතල්,අතල්
හෙට්ටි,නට්ට්ි,හෙට්ටි
ගෙදර,ගදර,ශෙදර
බණ්ඩාගේ,බණ්ඩාගේ,බණ්ඩාගේ
මුරුකයියා,මුරුකයියා,මුරුකයියා
හන්දි,චවන්ද්‍ර්‍ය,හන්ද
පත්මසිරි,පත්මසිට,ඞපත්මසිරටි
සෙයිනුල්,ඞේඞඔසසයිනුල්,ඞසෙයිතුල්
සඳුනිකා,සඳුනිකා,ඛඬඞසදඳුනිකා
වත්සලා,චත්සලා,වත්සලා
භාග්‍යශ්‍රි,භාග්‍යශ්‍රි,භාග්‍යශ්‍රි
ශාන්ත,ඛඝථශාන්න,ශාන්ත
පිලිප්පැන්නේ,පිලිප්පැන්නේ,පිලිජපැන්නේ
සුසන්ති,සුසන්නි,ඞසුසන්තිං
ඉෂාන්,ේඞඝඞඉෂාන්,ඉෂාන්
මොහම්මදු,මොනම්මලු,ඞඝමොහම්මදු
ෆහාදා,වාත,ෆහාදා
කරුණාතිලක,කරුණානිලක,කරුණාතිලක
දිලේෂා,දිලේෂා,දිලේෂ
දිල්ෂිනි,දිල්ෂිනි,දිල්ෂිනි
මොහමඩ්,මොහමඩ්,මොහමඩ්
මහපටබැඳිරාලලාගේ,මහපටබැඳිරාලලාගේ,මහපටබැඳිරාලලාගේ
පුෂ්ප,පුෂ්ප,රජජුෂප
ශානිකා,ශානිකා,ශානිකා
ගැට්ලින්,ඞගැටිලින්,ගැට්ලින්
ඉදිරිසිංහ,ඞඉදිරසිංහං,බදිරිසිංං
රිස්කා,රිස්කා,රිස්කා
තුසන්දන්,ඞතුසන්දන්,කුසන්දඳන්
දමයන්ති,දමයන්ති,දමයන්ති
මුහම්මද්,මුහම්මද්,හමුහම්මද්
තන්ගයියා,තන්ගයියා,ඞතන්ගයියා
ජීවනී,එවනි්,රීචවනී
මංචනායක,මංචනායක,මංචනායක
හුරතල්,හුරතල්,හුරතල්
පොල්වත්තෙගේ,පොල්වත්තෙගේ,පොල්වත්තෙගේ
කුලතුංග,ඞකුලතංග,කුලතුංග
අකුරැස්සේ,අකුරැස්සේ,අකුරැස්සේ
සෙනවිරත්න,සෙනව්රත්න,සෙනවිරත්න
නිලානි,නිලානි,වනිලානි
මර්ෆහාන,මර්ෆනාන,මර්ෆගාන
මොහම්මඩ්,මොහම්මඩ්,ඞමොහම්මඩ්
මදුරප්පෙරුම,මදුරප්පෙරුම,මදුරප්පෙරුම
ඉෆ්සාල්,ඞශඉලෆේසාල්,ඉෆ්සාල්
මැණිකේ,මැණිකේ,මැණිකේ
මොහමඩ්,මොහමඩ්,මොහමඩ්
උපුල්,ඊරුල්,උපුල්
සින්නාන්,සින්නාන්,සින්නාන්
පුෂ්පකුමාර්,පුෂ්පකුමාර්,පුෂ්පකුමාර
රාජිත,රාපිත,රාථජත
ෆාරුක්,ආාරුක්,ෆාරුක්
ලසදා,ලසදා,ලසදා
රත්නායක,රත්නායක,රත්නායක
වීරවර්ධන,චීරවර්ධධා,චිරවර්ධනයන
අමරංග,අමරංශග,අමරංග
මසයිහිනා,මසයිහිනා,සශමසයිහිනා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
පයාගලගේ,පයාගලගේ,පයාගලගේ
ශිරාණි,ශිරාණි,ශිරාණි
ශෙහන්,ගශෙනන්,ශෙහන්
රත්නපාල,රත්නපාල,රත්නපාල
සරනසිංහ,සරනසිංහග,ඞසරනසිං
වෙලයලාගේ,වෙලයලාගේ,වෙලයලාගේ
රන්දික,ඊන්ද්‍රක,රන්දික
දිනේෂා,දිනේමා,දිනේෂා
සිරිමතී,සිරමනී,සෙේසිරිමති
ඩල්සි,ඬල්සි,ඩලසි
විදානගේ,විදානග්,විදානගේ
නහ්දී,නහර,න්‍යදී
සම්සුදීන්,ඞසම්සූදින්ං,ශසම්සුඳදීන්
ඉරෝෂිනි,ඞරෝෂිනි,උඅඉරෝෂිීනි
ඉන්දිකා,ඉන්දිකා,ඉන්දිකා
අශොක්,අශොක්,ේඞඉඅශොක්
ජයනි,දජයනි,ජයනි
වලවෙ,වලවෙ,වලවේ
ජයවර්ධන,ජයවර්ධන,ජයවර්ධන
විජේන්ද්‍ර,විජේන්ද්‍ර,ඞසඞසචිපේන්ද
ෆොන්සේකා,ෆොන්සේකා,ෆොන්සේකා
කාල්ඩීන්,කාල්ඩීන්,ඞකාල්ඩීන්
පෙරේරා,පෙරේරා,පෙරේරා
හෙලන්,ේඞඝඞඉනෙලන්,ේඞඝඛගෙලන්
ෆාසිල්,ආාසල්,ෆාසිල්
හෙට්ටි,හට්ටි,හෙට්ටි
බන්ඩාර,බන්ඩර,බන්ඩාර
මනාෆ්,මනාෆග්,මනාෆ්
කුමාර,කුමාර,කුමාර
චන්ද්‍රාවති,ඞඇසච්න්ද්‍රාචනි,ඞඡඑන්දාවති
හල්ලිකා,තල්ලිකා,ඞහල්ලිකා
ඉසංක,ඉසංක,ඉසංක
පතිරණගේ,පතිරණගේ,පතිරණගේ
කුමාර,කුමාර,කුමාර
කුමාරි,කුමාර,කමාරි
තමරා,බමරා,ඞතමරා
විජයතුංග,විජයතුංග,ඞචිජයතුංග
වෑවත්තගේ,වෑවන්තගේ,චෑවත්තගේ
මධුසංක,මධුසංක,මධුසංක
වසන්ති,වසන්ති,ඛෞඞචවචසන්තිං
ඉස්මත්,ඩඉස්මත්,ඞේඝඉඉස්මත්
මාහිනා,මාහනා,මාහිනා
හර්ෂන,හර්ෂන,ගර්ෂන
දමිත්,දම්ත්,දමිත්
කොම්පඤඤගේ,කොම්පඤඤගේ,කොම්පඤාඤගේ
ගුරුසිංහ,ඞඈගුරැසිංහ,ගුරුසිංහ
අනිල්,අනිල්,අනිල්
