original,Malith,Abhaya
රන්පුර,රන්පුරු,රන්පුර
ලක්මානි,ඞලකක්‍්මානි,ේසලක්මානි
ජයතිස්ස,ජයතිස්ස,ඞඝජයතිස්ස්
රන්දි,රනද්‍ර,රනද
හිටිගේ,ඞහිටිගේ,හිටිගේ
පවිත්‍රන්,පචිත්‍රන්,පවිත්‍රන්ං
විවේකානන්දම්,චිවේකානන්දම්,චිවෙකානන්දම්
පාරමී,පාරම්,පාරම්
ලයනල්,ලයනල්,ලයනල්
ගංගා,ඞඛඞඛහහතඟගගංගා,යගංගා
තවරාසා,තබවරාසා,ශතවරාසා
ප්‍රියන්කා,ඞඇප්‍රියන්කා,ප්‍රියන්කා
හමීඩ්,නමඩ්,ගම්ඩ්
හොරවල,හොරවල,හොරවල
විමර්ශනා,වචිමර්ශනා,විමර්ශනා
ලක්ෂිකා,ලක්ෂිකා,ලක්ෂිකා
ස්වර්ණා,ස්වර්ණා,ස්වර්ණා
කංකානම්ගේ,කංකානම්ගේ,කංකානම්ගේ
ආබ්දීන්,ඇඈබදින්,ආබදීන්
සාන්ත,සාන්න,සාන්ත
ක්‍රිෂාන්ත,තක්‍රිෂාන්න,ක්‍රිමාන්ත
පෝරුතොටගේ,පෝරැතොටගේ,පෝරුතොටගේ
කුමාර,නුමාර,කුමාර
පුබුදුනී,රපුබුදුනි,පුබුදුනි
පෙරේරා,ඈජපෙරේරා,පෙරේරා
රුවෙන්දිකා,රුැවෙන්දිකාට,රුවෙන්දිකා
තල්ගස්,නල්ගස්,ඞේඞඝතල්ගසස්
රනෝජා,රනෝජා,ඨජරනෝජා
අරෝෂ,අරෝෂ,අරෝෂ
රෝහිත,රෝගීත,ේරෝහිත
සන්තියාගේ,සන්නියාගේ,සන්තියාගේ
හිදැල්ලෙ,හිටැල්ලෙ,ඞහිදැල්ලෙං
කුමාරි,බුමාර්,කුමාරි
තිලකා,තිලකා,තිලකා
සයුරි,සයුර,සයුර්
අයියාත්තුරෙයි,අයියාත්තුරෙයි,අසියාත්තුරෙයි
සෙනුරි,සෙනුර,සෙනුරි
මධුවන්ත,මධුචන්ත,මඩධුවන්ත
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සුසිලා,සුසිලා,සුසිලා
ජගත්,පත්,එඒගත්
චතුරංගා,ඞචතුරංගා,චතුරංගා
සුසන්ත,සුසන්ත,සරසුසන්ත
සංචිවිරාජ්,සංචිචිරාජී,ඞඈසංචිචිරාජ්
වීරසිංහගේ,වීරසිංහගේ,වීරසිංහගේ
දොඩංගොඩ,දොඩංගොඩ,දොඩංගොඩ
රංසිකා,රංසිකා,රාසිකා
මලර්,එරර්,මලර්
අප්පුහාමිලාගේ,අප්පුහාමිලාගේ,අප්පුහාමිලාගේ
කුරුවිට,කුරැව්ට,කුරුවිච
මෙරෙඤඤගේ,මෙරෙඤඤගේ,මෙරෙඤඤගේ
අසංක,අසංක,ඞඨඅසංක
රත්නායක,රත්නායක,රත්නායක
සිල්වා,සිල්වා,සිල්වා
කපුරාලලාගේ,කපුරාලලාගේ,කපුරාලලාගේ
හෙත්තිගමගේ,හෙත්තිගමගේ,හෙත්තිගමගේ
නියාස්,නියාස්,නියාස්
ජයසේකර,ජයසේකර,ජයසේකර
ෂිරානි,ඞෂිරානි,යපිරානි
ක්‍රිෂ්ණකුමාර්,ක්‍රිෂ්ණකුමාර්,ක්‍රිෂ්ණකුමාර්
රණසිංහ,රණසිංං,ඞේසඨරණසිං
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්ද්‍ර
මුරුගන්,මුරුගන්,මුරුගන්
ගුරුගේ,ගුරුගේ,ගුරුගේ
