original,Malith,Abhaya
කුරණගේ,කුරණගේ,ඞකුරණගේ
දේවිකා,දේවා,දේවිකා
ඩර්සිකා,ඩර්සිකා,ඩර්සිකා
සෝමලතා,සෝමලනා,සෝමලතා
කුරුකුලසූරිය,කුරැකුලසූරය,කුරුකුලසූරියට
කුමාර,කුමාර,කුමාර
නෙල්කා,නෙල්කා,ඛඞනෙල්කා
පේඩිගේ,ඒේඩිගේ,පේඩිගේ
සනත්,සනත්,සනත්
රාමසිංහ,රාමසිංහ,රාමසිංහ
හෙට්ටි,නෙට්ට්,හෙට්ට්
චිරන්ති,චිරන්ති,චිරන්ති
හර්ෂණ,ධඞහභර්ෂන,හර්ෂණ
සුදේස්,සුදේධ්,සුදේස්
හංසමාලි,හංසමාලි,ඨඡහංසමාලි
එදිරිවීර,චදිර්වීර,එදිරිවීරං
උදාර,එතර,රදාර
ආනන්ද,ආනන්ද,ආනන්ද
චන්දනසිරි,චන්දනසිරටි,ඞඇචන්දනසිරි
සසංක,සසංක,සසංක
මහේස්වරන්,මහේස්චරන්,මහේස්වරන්
වැලිවිටිය,චැලිවිටිල,වැලිවිටිය
ඩයස්,ඩයස්,ඩයස්
රංජනී,රංජනී,රංජනී
සුජන්තන්,සුජන්තන්,සුජන්තන්
පත්මලෝජනි,පත්මලෝජනි,පත්මලෝජනි
සෙව්වන්දි,සෙච්වන්දි,සෙච්වන්දි
පතිරගේ,ඞපතීරගේ,පතිරගේ
රණතුංග,රණතංග,රණතුංග
කහදාව,කහදාව,ඞඝකහදාව
සරත්,සරත්,සරත්
ප්‍රනාන්දු,ඞඝපනාන්දු,ඉප්‍රනාන්ද්‍ර
චමින්ද,ඞඬචම්න්දලා,එමින්ද
ඩිනුක,ඩිනුක,ඩිනුක
අප්පුහාමිලාගේ,අප්පුහාමිලාගේ,අප්පුහාමිලාගේ
ඉස්මයිල්,ඈඉස්මයිල්,ඞඉස්මයිල්
මෙන්ඩිස්,ශමෙන්ඩ්ස්,ඞඈඝනමෙන්ඩිස්
විගල්‍යා,ඞඨඝචිගලා,විගල්‍යා
සීසෙල්,සීසසල්,සීයෙල්
මුදියන්සෙලෑ,මුදියන්සෙලෟ,මුදියන්සෙලෑ
නිරූපි,නිරපි,නිරුපි
සුභද්‍රාවතී,සුනද්‍රාවනී,සුභූදාවනී
නවාස්,නවාස්,නවාස්
විතානගේ,චිතානගේ,විතානගේ
අබේසේකර,අබේසේකර,අබේසේකර
මල්ලිකා,මල්ලිකා,ේඞමල්ලිකා
ගමරාල්ලාගේ,ගමරාල්ලාගේ,ගමරාල්ලාගේ
ෆ්රන්සිස්,ඞඉල්‍රන්සිස්,ෆ්රන්සිස්
ඩික්මන්,ඩික්මන්,ඩික්මන්
ඉන්ද්‍රානි,ඞශමන්ද්‍රානි,තන්දානි
ක්‍රිෂ්ණන්,ඞබ්‍රිෂ්ණන්ං,ඇක්‍රිෂණන්
ෂාරන්,ෂාරන්,නපාරත්
මධුසංඛ,මධුසංඛ,ඞඈඉමධුසංඛ
වනිගතුංගලාගේ,චනිගතුංගලාගේ,චනිගතුංගලාගේ
විමලරතන,විමලරතන,චිමලරතන
අබ්දුල්ලා,අබ්දුල්ලා,ඞඅබදුල්ලා
ජනරංජන,ජනරංජන,ජනරංජන
සංජීවනී,සංජීවනී,ඞසසංජීිවනී
අමරකෝන්,අමරකෝන්ං,අමරකෝන්
මචාඩෝ,මචාඩේ,ේඞමවාඩෝ
අරුම,අරුම,අරුම
නිමංෂා,නිමංෂා,නිමංෂා
ශී‍යාමලී,ශීඩයාමමලි,ශීඩයාමලී
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ගෝකුලන්,ගෝකුලන්,ඞශගෝකුලන්
හම්සුස්,ඛේශහම්සුස්,ඞහම්සුස්
අලේන්ද්‍ර,අලේන්ද්‍රු,ඛේඞඅලේන්දු
ලමාපුර,ලමාපුර,ඞලමාපුර
අබේ‍රත්න,අබ්‍රෙතන්න,අබ්‍රේෙත්න්
චන්ද්‍රක්කාරගේ,චන්දුක්කාරගේ,චන්ද්‍රක්කාරගේ
කුමාර,කුමාර,කුමාර
ඉන්ද්‍රානි,ඉන්ද්‍රානි,ඉන්දානි
මාපිටිගමගේ,මාපිටිගමගේ,මාපිටිගමගේ
මොරකන්ද,මොරකන්ද,මොරකන්ද
මනෝජ්,ඞමනෝජ්ි,මනෝජ්
වික්‍රමසිංහ,වික්‍රමසිංර,ඞඇවික්‍රමසිංං
මනෝජ්,මනෝථජ්ි,මනොජ්ං
හව්පේ,හචිපේ,හව්මසප්
බණ්ඩා,බණ්ඩා,බණ්ඩා
රොෂෙල්,ඞරොෂෙල්,රොෂෙල්
නන්දාවතී,නන්දාවතී,ඞනන්දාවතී
ෂෙහානි,ඞෂෙනානි,ෂෙහානි
ආරුමුගම්,ආරැමුගම්,ආරුමුගම්
හත්තිමුනි,ඞඈඡහහත්නිමුන්ි,ඞහත්තිමුනි
අස්සැද්දුමේ,අස්සැද්දුමේ,අස්සැද්දුමේ
ලක්මාලි,ලක්මාලිව,ඞඉලකක්‍්මාලි
නිත්කුනානන්දන්,නිත්කුනානන්දන්,නිත්කුනානන්දන්
තෙරෙස්,ඞතෙරෙස්,ඞතෙරෙස්
රංජිත්,රංජිත්,රංජිත්
දිව්‍යාංජලී,දිව්‍යාංජලී,දිව්‍යාංජලී
සොමිරුවන්,සොම්රැවන්,සොමිරුවන්
කුමාරී,ඞකූමාර්,කුමාරි
සිවමලර්,සිවමලර්,ඞඝසිවමලර්
කන්දයියා,කන්දයියා,කන්දයියා
මිනිපලඟමානගේ,මිනිපලමානගේ,මිනිපලමානගේ
හිඟුරල,ඞඉහිහිර්ලා,ශහිනුිරල
රාජපක්‍ෂ,රාජපක්කු,රාජපක්ෂ
අතුරුගිරි,අතුරුගිරි,ඞඅතුරුගිරදි
පෙරමුණකංකානමලාගේ,පරමුණකංකානමලාර,පරමුණකංකානමලාර
විල්ෆ්‍රඩ්,විල්ෆගුඩ්,විල්ෆ්‍රඩ්්
ජයසිංහ,ජයසිංහ,ජයසිංං
ප්‍රියන්ත,ප්‍රියන්න,ප්‍රියන්ත
පොන්නිම්,පොන්නිම්,ඞපොන්නිම්
නිශාන්ති,ඞඈනිශාන්ති,නිශාන්ති
සජිත්,සරින්,ේෙඞආසජිත්
ලේකමලාගේ,ලේකමලාගේ,ලේකමලාගේ
ඉරෝෂිණී,ඞරෝෂීඞව,ඉරෝෂිය
රත්නායක,රත්නායක,රත්නායක
ලියනගේ,ලියනගේ,ලියනගේ
රම්බන්ඩා,රම්බන්ඩා,ඞශඈරම්බන්ඩා
ජයසුන්දර,අජජශයසුන්දර,ජයසුන්දර
අබේකෝන්ගේ,අබේකෝන්ගේ,අබේකෝන්ගේ
සූරියහෙට්ටි,සූරයනෙට්ට්,සූරියහෙට්ටි
ගුණතිලක,ගුණනිලක,ගුණතිලක
කුමාර,කුමාර,කුමාර
පණ්ඩිතගේ,පණ්ඩිතගේ,පණ්ඩිතගේ
පෙරේරා,ඞපෙරේරා,පෙරේරා
ගෙදර,ගෙදර,ගෙදර
මධසංක,මධසංක,මධසංක
රාජකරුණාවල,රාජකරැණාවල,රාජකරුණාවල
යුසුබ්,මසයුසුබු,යුඳසුබ්
