original,Malith,Abhaya
කටුවලගේ,කටුවලගේ,කටුවලගේ
ජයසිංහ,ජයසිංහ,ජයසිංහ
සුමන්ජුලා,සුමන්රුලා,සුමන්ජුලා
තිසරණී,තිසරරු,නිසරර
ප්‍රසන්න,ප්‍රසන්න,ප්‍රසන්න
නිමල්,නිමල්,නිමල්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
අනුෂ්කා,අනුෂ්කා,අනුෂ්කා
යොනේෂි,ේඞශයොනේෂි,ඞශඨයොනේෂි
සිල්වා,සිල්වා,සිල්වා
වරදාන,වරදාන,වරදාන
සුරේශ්,සුරේශ්,ඛඞසුරේශ්
ලුණුවිලගේ,ලුණුවිලගේ,ලුණුවිලගේ
නිශාන්ත,නිශාන්න,නිශාන්ත
වීරසේකර,වීරසේකර,ඞවීරසේකර
අබ්දුල්,අබ්දුල්,අබදුල්
කුමාර,කුමාර,කුමාර
ලක්‍ෂිත,ලක්ෂිත,ලක්ෂශත
පෙරේරා,පෙරේරා,පෙරේරා
දොලේවත්තගේ,දොලේවත්නගේ,දොලේවත්තගේ
ප්‍රසිල්ලා,ප්‍රසිල්ලළා,ඞඈප්‍රසිල්ලා
රාසලිංගම්,රාසලිංගම්,උරාසලිංගම්
කුමාර,කුමාර,කුමාර
අමරකෝන්ගේ,අමරකෝන්ගේ,අමරකෝන්ගේ
ආබ්දීන්,ආබ්දිීන්,ආබදීන්
හේරත්,ේඞඛහේ්රත්,හේරත්
තිලකරත්න,තිලකරත්න,තිලකරත්න
නිරෝශ,ඞඝනිරෝග,ඞනිරෝශ
රාජපක්‍ෂ,රාජපක්පත,රාජපක්තකු
අචිලා,අවුලා,අවිලා
නුවන්,නුවන්,නුඛන්
ජයලත්,ජයලත්,ඨජයලත්
කුරුප්පු,බරුැප්වු,කුරුපපු
එලියාදුර,චිලියාදුර,ඞඑලියාදුර
මනාවලගේ,මනාවලගේ,මනාවලගේ
ෆාත්තිමා,ෆාත්තිමා,ඞෆාත්තිමා
අමරසේකර,අමරසේකර,අමරසේකර
රාජපක්ෂ,රාජපක්ෂ,රාජපක්ෂ
කන්දෙ,ගණකන්දෙ,යකන්දෙ
උඩගෙදර,ඞඈඅඑඩගෙදර,උඩගෙදර
මුසීන්,මුවින්,මුසීන්
අක්ෂයන්,ඨසඨඅක්ෂයන්,ඞඅක්ෂයන්
මසාහිදා,මසාහිදා,මසාහිදා
අසන්ත,අසන්ත,ඉඅසන්තං
පීරිස්,පිරිස්,පීරිස්
සඳරුවන්,සඳරුවන්,සඳරුවන්
හේවගේ,ඞහේවගේ,හේවගේ
වසන්ත,වසන්ත,වසන්ත
අයිසෙක්,අයිසෙක්,අයිසෙක්ං
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේං
සෙල්වරාජා,සෙල්වරාජා,සෙල්වරාජා
අනුරුද්ධි,අනුරැද්ධි,අනුරුද්ධි
රාජකුමාරි,රාජකුමාර,රාජකුමාරිං
දඩල්ලගේ,දඩල්ලගේ,දඩල්ලගේ
කංකානමලාගේ,කංකානමලාගේ,කංකානමලාගේ
කජෙන්තිනි,කජෙන්තිනි,කශජෙන්තිනි
පරාසමනි,පරාසමනි,පරාසමනි
යාප්පටුන,යාප්පටුන,යාප්පටුන
අගම්පොඩිගේ,අගම්පොඩිගේ,අගම්පොඩිගේං
ජෙයච්චිත්තිරා,ජෙයච්චිත්නිරා,ජෙයච්චිත්තිරා
කුට්ටි,බුට්ට්,බවවටි
මලින්ද,මලින්ද,මලින්ද
ලක්මිණි,ලකක්‍්ෂිනි,ඛේසශලක්මිණි
රස්නකරාල්ලාගේ,රස්නකරාල්ලාගේ,රස්නකරාල්ලාගේ
මදුරාධිපති,මදුරාධිපති,ඞහමදුරාධිපති
නිලුෂා,ඞඝනිලූෂා,නිලුෂා
ෆාතිමා,ෆාතිමා,ෆාතිමා
අබ්දුල්,අබ්දුල්,අබදුල්
නවගමු,නවගමු,නවගමු
ඉසුරු,ඉසුරු,ඉසුරු
උදයංගනී,උදයංගනී,උදයංගනී
මොහමඩ්,මොහමඩ්,මොහමඩ්
ෆර්හානා,ෆර්හානා,ෆර්ගශාතා
සේනානායක,සේනානායක,සේනානායක
ගයාත්‍රි,ගයාත්‍රි,ගයාත්‍රි
වසන්තා,ේමචසන්තා,වසන්තා
ශ්‍රීමතී,ශ්‍රීමත්,ශ්‍රීමත්
රසීයා,රිසිසා,සීයා
ගුණශ්‍රී,ගුණ,ශනි
චාන්දන,චාන්දනා,චාන්දන
කන්දයි,කන්දයි,කන්දයි
ගෙදර,ගර,ගෙදර
රත්නායක,රත්නායක,රත්නායක
උදයංග,උදයංග,උදයංග
ජයසිංහ,ජයසිංං,ජයසිංහ
ලත්තිෆා,ඉත්නතිෆගා,ඛේඝඞඇලත්තිලා
ජගත්,ජගත්,එතේ
ප්‍රියංකා,රප්‍රියංඛා,ප්‍රියංකා
නසීර්,නසීර්,යනසීර්
ජයසිංහ,ජයසිංහ,වථශජයසිංං
ගම්ලත්,ඞේඝඞගම්ලත්,ගම්ලත්
රමේස්,ඊමේස්,ඞරමේස්
තුරෙයිනායගම්,තුරෙයිනායගම්,තුරෙයිනායගම්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සඳමිණී,සඳමට,සඳමිපමා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
රක්සානා,රක්සානා,රක්සානතා
පෙමත්තු,ඞපෙමත්තු,ශපෙමත්ත්‍රු
සුවන්මේරු,සුවන්මේලැ,සුවන්මේරු
තිරුලොගු,තිරැලොගු,තනිරුලොගු
කුමාර,කුමාර,ඞකුමාරං
පියුමාල්,පියුමාල්,පියුමාල්
තරිඳු,තරදු,තර්දු
හසන්,හසන්,හසන්
ඉබ්බ්‍රා,ඞඉඑස්බට්‍රා,ඉබ්බා
නිවර්ථනා,නිචර්ථනා,නිවර්ථනා
කලෙයරසන්,කලෙයරසන්,කලෙයරසන්
සසිතා,සදනා,සසිතා
සචිනි,සචිනි,සවනි
කුමාර,කුමාර,කුමාර
ඉන්ද්‍රමාලි,ඉන්ද්‍රමාලි,වඵනඉන්දමාලිට
ජයමිණි,ජයමිණි,ජයම්ණි
දුල්වල,දුල්වවලවා,ඞදුල්වල
රණසිංහ,රණසිංහ,ගණරණසිං
නැල්සන්,නැල්සන්,සනැල්සන්
කංකානම්ගේ,කංකානම්ගේ,කංකානම්ගේ
උදාගි,උතගි,ළදාගි
අරුල්ඥාණරෝස්මලර්,අරැල්ණලාණරෝස්මලර්,අරුල්හාණරෝස්මලර්
කොණකලගල,කොණකලගල,කොණකලගල
පහින්දර,පනින්්දමර,පහින්දේර
හෙට්ටි,හෙට්ට්,පෙට්ටි
ෂිහානා,ෂිහානා,ෂිහානා
ඉන්ද්‍රාදේවි,ඞනමන්ද්‍රාදේවිමං,ඉන්දාදේවි
හංසකුමාර,හංසකුමාර,හංසකුමාර
ඇන්තනි,ඇන්තනි,ඇන්තනි
මාලතී,මාලෆී,මාලතී
මාලනී,ධධඞමාලනී,ඨඝමාලනී
හෙට්ටිවන්නකු,හෙට්ට්වන්නකු,හෙට්ටිවන්නකු
ක්‍රිශානි,ක්‍රිනානි,තිශානි
ජයදේවකිත්ති,ජයදේවකිත්ති,ජයදේවකිත්ති
ගෙදර,ගෙදර,එදුර
රන්මුතුගලගේ,රන්මුතුගලගේ,රන්මුතුගලගේ
අප්පුහාමිලාගේ,අප්ථුහාමිලාගේ,අප්පුහාමිලාගේ
පාඬිගමගේ,පාඬිගමගේ,පාඬිගමගේ
රංගනී,රංගනී,රාගශතී
සිරියා,සිටියා,සිරියා
පේමරත්න,පේමරන්න,ඈඋපේමරත්න
ගුණතිලක,ගුණසිලලබ,ගුණතිලය
ජයලත්,පයලත්,ඞඛඛේඝජයලත්ං
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
දුරගේ,දුරගශ්,දුරගශේ
කොතලාවලගේ,කොතලාවලගේ,කොතලාවලගේ
උපාලි,උපාලි,උපාලි
වනිගසූරියගේ,වනිගසූරයගේ,වනිගසූරියගේ
හැන්නැදිගේ,හැන්නැදිගේ,හැන්නැදිගේ
ෆාතිමා,ෆාතීමා,ෆාතිමා
චතුරංග,චතුරංග,චතුරග
ගෙදර,ගෙරර,ගෙදර
ජයවර්ධන,ජයවර්ධනා,ජයවර්ධන
නාගලිංගම්,නාගලිංගම්,නාගලිංගම්
අමරතුංග,අමරතුංග,අමරතුංග
ගොඩගන්,ගොඩගන්,ගොඩගන්
බලදේව,ඈබලදේව,බලදේව
සුපාජිනි,සුපාපිනි,ඞසුපාජිනි
බඩතුරුගේ,බඩතුරුගේ,බඩතුරුගේ
රුක්මල්,රුක්මල්,රුක්මල්
කෞපියා,කෞපියා,කෞපියා
සෙව්වන්දි,සෙව්වන්දි,සෙව්වන්දි
ට්‍රින්කා,ච්‍රින්කා,ච්‍රින්නා
රන්තිරන්ගේ,රන්තිරන්ගේ,රන්තිරන්ගේ
