original,Malith,Abhaya
හෙට්ටිගේ,හෙට්ටිගේ,හෙට්ටිගේ
පැතුමිකා,පැතුම්කා,ඞඇපැතුම්කා
නිපුනි,නිපුනි,යනිපුනි
ප්‍රියදර්ශනි,ප්‍රියදර්ශනිමං,ප්‍රියදර්ශනී
සම්පත්,සම්පත්,ඛෞේඞසසම්පත්
අබේකෝන්,අබේකෝන්,අබේකෝන්ං
කුමාරකුලසිංකම්,කුමාරකුලසිංකම්,කුමාරකුලසිංකම්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ගුණවර්දන,ගුණවර්දන,ගුණවර්දන
දිල්රුක්ෂි,දිල්රැක්ෂි,දිල්රුක්ෂි
බියන්විලගේ,බියන්විලගේ,බියන්විලගේ
පුබුදු,පුබුද්‍ර්‍යං,වුමුද
සන්තානකුරුක්කල්,සන්තානකුරැක්කල්,සන්තානකුරුක්කල්
බංඩාර,බංඩාර,බංඩාර
ප්‍රියංගනී,ප්‍රියංගගී,ප්‍රියංගතීි
ජෙයිලබ්දීන්,ජෙයිලබදීින්,ජෙයිලබදින්
මේරිතාසන්,මේරනාසන්,මෙරිතාසන්
මුදලිගේ,ඞමුදලිගේ,ඞමුදලිගේ
රංජනී,රංජනී,රංජනී
හේරත්,හේරත්,හේරත්
නිරන්ජනි,නිරන්ජනි,ඞනිරන්ජනි
මධුසංකා,ඞඇමධුසංකාං,හතමධුසංකා
ගජනායක,ගජනායක,ඈගශජනායයකය
ශාන්ත,ශාන්ත,ශාන්ත
නම්බුකාර,නම්බුකාර,නම්බුකාර
කුමාර්,ඛේසඞහකුමාර්,කුමාර
තුෂාර,තුෂාර,තුෂාර
සඳරුවනි,සඳරුවනි,සඳරුවනි
හීන්නිලමේ,හින්නිලමේ,හීන්නිලමේ
ලෝවල්,ලෝවචවල්,ඞලෝවල්
කුමාර,කුමාර,කුමාර
ඉම්රානා,ඉම්රාන,ඞසඉම්රානා
ගනිස්ටන්,ගනිස්ටන්,ගනිස්ටන්
මැණිකේ,මැණිකේ,මැණිකේ
