original,Malith,Abhaya
සේනාරත්න,සේනාරත්න,සේනාරත්නං
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
දිල්ශාන්,දිල්ශාන්,දිල්ශාන්
පෙරේරා,පෙරේරා,පෙරේරා
දේවගේ,දේවග්,දේවගේ
උස්සා,දුස්සා,ඞඝඋස්සා
ඉරේෂ්,ඞඉදරෛෂ්,ඉරේෂ්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
විජේකුමාරන්,විජේකුමාරන්,චිපේකුමාරන්
පෙරේරා,පෙරේරා,පෙරේරා
යමසිංහ,ඞයමසිංහ,ඞශයමසිංං
චම්පිකා,ඞචම්පිකා,චම්පිකා
කේමාවති,කේමාවනි,ශඈකේමාවනි
දිසානායක,දිසානායක,දිසානායය
හේනයලාගේ,හේනයලාගේ,හේනයලාගේ
සිංහරාජා,ඞසිංවරාජා,සිංහරාජා
වික්‍රමසිංහ,වික්‍රමසිංහ,ඞවික්‍රමසිං
ආචාරිගේ,ආචාදගේ,ආචාරිගේ
ගෙදර,ගෙදර,ගෙදර
ආරච්චිගේ,ආරච්චිගේ,ඞඈආරච්චිගේ
රේණුකා,රේණුකා,රේණුකා
දේශප්‍රිය,දේශපියං,දේශප්‍රිය
සන්ධ්‍යා,සන්ධ්‍යා,සන්ධාා
අලහප්පෙරුම,අලහප්පෙරුම,අලහප්පෙරුම
හේෂානී,ඞඛහනේෂානී,ඞගේෂානී
නේසවාසන්,නේසවාසන්,නේසවාසන්
විශ්වලිංගම්,විශ්වලිංගම්,විශ්වලිංගම්
හේවාගේ,හේවාගේ,හේවාගේ
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
මොහොම්මද්,මොහොම්මද්,මොහොම්මද්
ජසිනා,පසිනා,ඬඞඝඉජසිනා
සිවකුරුනාදන්,සිවකුරැනාදන්,සිවකුරුනාදන්
ගීකියනගේ,ගීකියනගේ,ගීකියනගේ
ලියනගේ,ලියනගේ,ලියනගේ
ධනවති,ඩනවබ්ි,ධඛනවති
ප්‍රශාන්ත්,ප්‍රණාන්ත්ං,ප්‍රශාන්ත්
නාගුර්පිච්චායි,නාගරිපිච්චායි,නාගුර්පිච්චායි
කෝදාගොඩ,කෝදාගොඩ,කෝදාගොඩ
ජේකොබ්,පේකොබ්,ඞපේකොබ්ං
ජල්තොටගේ,ජල්තොටගේ,ජල්තොටගේ
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
මාරසිංහ,මාරසිංහ,ඞමාරසිංං
නිමේසා,නිමේසා,ශඔඝකිමේසා
ජයසිංහ,ජයසිංහ,ජයසිංහ
කිදෙල්පිටියගේ,කිදෙල්පිටියගේ,කිදෙල්පිටියගේ
ගුරුගේ,ගුරුගේ,ගුරුගේ
කනත්තගේ,කනත්තගේ,කනත්තගේ
ජයලත්,ජයලත්,ජයලත්
නිරංජි,නිරංජි,නිරැජි
කන්කානම්ලාගේ,කන්කානම්ලාගේ,කන්කානම්ලාගේ
මදුවන්ති,මදුචන්ති,මදුවන්ති
ප්‍රසාධි,ඉප්‍රසාධඩි,ප්‍රසාධි
නිලක්‍ෂ්මී,නිලක්ෂ්වී,නිලක්ෂම්
කසුන්,බසුන්,කසුන්
වීරසිංහ,චීරසිංහ,වීරසිංහ
අමිර්දීන්,අම්රිදීන්,අමිර්දීින්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
කරුනේස්වරන්,කරැනේස්වරන්,කරුනේස්වරන්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
වික්‍රමරත්න,චික්‍රමරත්න,වික්‍රමරත්න
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්දු
කල්පනා,කල්පනා,කල්පනා
මංජුලා,මංජුලා,මංජුලා
පුනහැල,පුනහැල,ප්‍රුනගැල
ටර්ජිනී,චර්පිනීි,ටර්රථනී
උග්ගලගේ,උග්ගලගේ,උග්ගලගේ
ඥානසේකරන්,ඥානසේකරන්,ඥානසේකරන්
මර්වින්,මර්වින්,මර්වින්
ජයසේන,ජයසේන,ජයසේන
කුමාර,කුමාර,කුමාර
පේඩිගේ,ජේඩිගේ,පේඩිගේ
හාරිස්,චොරහ්,ගාරිස්
ජයසිංහ,ජයසිංං,ඞජයසිං
රාජපක්ෂ,රාජපක්ෂ,රාජපක්ෂ
හඳුන්පතිරාජ,හඳුන්පතිරාජ්,හඳුන්පතිරාජ
කපුගම,කපුගම,කපුගගත
ඉනෝකා,නෝකා,ඉනෝකා
ඇල්ලේ,ඇල්ලේ,ඇල්ලේ
ධනුෂ්ක,ේසඨධනුෂ්ඛ,ධනුෂ්ත
දුරයලාගේ,දුරයලාගේ,දුරයලාගේ
ශිහාන්මාලිංග,ශිනාන්මාලිංග,ශිහාන්මාලිංග
නිලක්‍ෂිකා,නිලක්ෂිකා,නිලක්ෂ්කා
නයනාංග,නයනාංග,නයනාංග
ගෙදර,ගඹෙදෙර,ගෙදර
රත්නායක,රත්නායක,රත්නායක
සුන්දරප්පිල්ලෛ,සුන්දරප්පිල්ල,සුන්දරප්පිල්ල
මල්කාන්ති,මල්කාන්ති,ලේකාන්ති
පතිරණ,පතිරණ,පතිරරණා
සිත්‍රාදේවි,ඞසිත්‍රාදේවි,සිත්‍රාදේවි
ජෙබමනි,පෙබමනි,ජෙබමනි
හසරංග,හසරංග,හසරංග
සඳමාලි,සඳමාලි,සඳමාලි
ගුණතිලක,ගුණතිලකට,ගුණතිලක
කුසුමලතා,කුසුමමතා,කුසුමලතා
