original,Malith,Abhaya
දිල්ශාන්,දිල්ශාන්,දිල්ශාන්
සිවරාජේස්වරන්,සිවරාපේස්වරන්,සිවරාපේස්වරන්
ගෙදර,ගෙදර,දර
ඇන්ටනට්,ඇන්ටනට්,ඞඇන්ටනට්
රත්නසිරි,රත්නසිරි,රත්නසිරි
කාලිංග,කාලිංග,කාලිංග
කනේසන්,කනේසන්,කනේසන්
ප්‍රේමතිලක,ප්‍රේමතිලක,ප්‍රේමතිලක
වාසනා,චාසනා,ඞඉවාසනා
විශ්වනාදන්,චිශ්වනාදන්,විශ්වනාදන්
මොහමඩ්,මොනමඩ්,මොහමඩ්
ලක්මාලි,ලක්මාලි,ලක්මාලි
ඉඩම,ඉඩ,ඉඩම
ශේරාන්,ඞශගශේරාන්,ශේරාන්
නිකලන්දවත්තේ,නිකලන්දවත්තේ,නිකලන්දවත්තේ
පෙරේරා,පෙරේරා,පෙරේරා
ලිවේරා,ලිවේ්‍රරො,ඨලිවේරා
රුවන්,රැවන්,රුවන්
උදාර,එපර,උදාර
රසිකා,රසිකා,රසිකා
උම්මු,උම්මු,උම්මු
රන්දිල්,රන්දල්,රන්දිල්
පියුමන්ති,පියුමන්නි,අජපියුමන්ති
උදය,දුදුශ,රදුදය
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
චමින්ද,ච්ම්න්දාශ,චමින්ද
රාමච්චන්ද්‍රන්,රාමච්චන්ද්‍රන්,රාමච්චන්දුන්
බ්ජිරතුල්,බ්පිරතුල්,සබජිරතුල්
තෙන්නකෝන්,තෙන්නකෝන්,තෙන්නකෝන්
ගමගේ,ේගමගේ,ගමගේ
කුමාර,කුමාර,කුමාර
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
දිදුලංග,දුදුලංග,දිදුලග
සඳරුවනි,සඳරැවනි,ඞසඳරුවනි
මංජිත,ඞමැංැජිත,මංජිත
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
