original,Malith,Abhaya
තනේන්ද්‍රන්,තනේන්දුන්,තනේන්දන්
වාහලතන්ත්‍රිගේ,චාහලනන්තිගේ,වාගලතන්බ්‍රිගේ
සුරංගනී,ඞසුරංගනී,සුරංගනී
තල්වත්තේ,තල්චත්තනේ,තල්වත්තේ
ස්ටෙෆාන්,ස්ටෙෆාන්,ස්ටෙෆාන්
රේණුක,රේණු,ඞරේණුක
නයනා,නයනා,නයනා
නිරෝෂිකා,නිරෝෂිකා,නිරෝෂිකාං
රාල්ලාගේ,රාල්ලාගේ,රාල්ලාගේ
වයංගා,වයංගා,වයංගා
අචනි,වනි,අවති
කැළුම්,කැළුම්,නැළුම්
ජයනි,ජනී,ජයනි
සරෝජනී,සරෝජනී,සරෝජනී
අබේවීර,ඛඅබේවීර,ඛේඞඅබේවීර
මහේශ්‍යා,ඞමහේශ්‍යා,ඞමහේශ්‍යා
සෙල්වරාජා,සෙල්වරාජා,සෙල්වරාජා
උඩුමලගලගේ,උඩුමලගලගේ,උඩුමලගලගේ
ඥානදාස,ඥානදාස,ඥෘනදාස
ශ්‍රියානි,ප්‍රියානි,ප්‍රියානිං
රිද්මි,රිදුම්,නරිදම්
කංකානමගේ,කංකානමගේ,කංකානමගේ
මධුශංක,මධුශංක,මධූුශං
බණ්ඩාර,බණ්ඩාර,බණ්ඩාර
නරසිංහ,නරසිංහ,ඈනරසිංං
යහලයාරාව,යනහලයාරාව,යහලයාරාව
අතුකෝරලගේ,අතුකෝරලගේ,අතුකෝරලගේ
තීක්‍ෂණ,නීක්ෂණ,තීක්ෂණ
වෙදගෙදර,වෙදගෙදමර,වෙදගෙදර
ෆාත්තිමා,ෆාත්නිමා,ඞෆාත්තිමා
දම්මිත,දම්ම්තන,ඞඝදම්මිීත
මල්කා,මල්කා,මල්කා
අබේසේකර,අබේසේකර,අබේසේකර
රත්නායක,රත්නායක,රත්නායක
සුජීව,සුළිව,සුජිව
ජේම්ස්,පේමීස්,ජේම්ස්
